일자 / 시간,시가,고가,저가,종가,거래량,거래대금,미결제약정
2018/08/30,10135,10135,10105,10105,1864,19,0
2018/08/31,10090,10115,10070,10115,1503,15,0
2018/09/03,10125,10125,10100,10115,192735,1949,0
2018/09/04,10135,10145,10115,10145,229950,2328,0
2018/09/05,10075,10075,10050,10055,242562,2442,0
2018/09/06,9935,9955,9915,9925,192610,1913,0
2018/09/07,9835,9845,9790,9845,217544,2135,0
2018/09/10,9825,9840,9810,9840,212137,2084,0
2018/09/11,9840,9870,9830,9860,198284,1953,0
2018/09/12,9920,9925,9895,9915,186082,1845,0
2018/09/13,9885,9890,9855,9865,214334,2118,0
2018/09/14,10000,10020,9970,10020,204098,2040,0
2018/09/17,9940,9950,9910,9945,234825,2333,0
2018/09/18,9745,9830,9745,9830,230914,2253,0
2018/09/19,9895,9900,9870,9890,211189,2087,0
2018/09/20,9890,9910,9870,9870,202620,2006,0
2018/09/21,9985,10005,9980,10000,225078,2250,0
2018/09/27,10010,10015,9970,9995,218028,2179,0
2018/09/28,10050,10080,10050,10070,212704,2141,0
2018/10/01,10110,10140,10085,10135,223395,2256,0
2018/10/02,10095,10095,10050,10050,201687,2034,0
2018/10/04,10055,10055,10000,10000,224276,2252,0
2018/10/05,9905,9905,9870,9890,231998,2296,0
2018/10/08,9760,9790,9745,9770,201075,1963,0
2018/10/10,9780,9780,9700,9730,185509,1804,0
2018/10/11,9235,9245,9130,9180,227381,2095,0
2018/10/12,9300,9380,9275,9380,294048,2736,0
2018/10/15,9385,9405,9340,9340,248306,2332,0
2018/10/16,9335,9345,9300,9340,213587,1990,0
2018/10/17,9650,9650,9605,9635,253834,2444,0
2018/10/18,9570,9570,9525,9540,205086,1961,0
2018/10/19,9375,9440,9345,9430,281168,2637,0
2018/10/22,9300,9360,9240,9360,392981,3650,0
2018/10/23,9360,9375,9235,9260,538884,5027,0
2018/10/24,9375,9400,9310,9345,252639,2362,0
2018/10/25,8960,9045,8950,9045,226268,2035,0
2018/10/26,9040,9040,8915,9000,487410,4391,0
2018/10/29,9075,9110,9050,9050,282295,2568,0
2018/10/30,8825,8905,8810,8885,336596,2973,0
2018/10/31,8960,8995,8920,8995,322697,2889,0
2018/11/01,9125,9185,9110,9110,290884,2657,0
2018/11/02,9225,9340,9165,9320,808610,7460,0
2018/11/05,9140,9145,9105,9140,333488,3043,0
2018/11/06,9130,9135,9080,9120,313305,2856,0
2018/11/07,9165,9275,9150,9200,370075,3400,0
2018/11/08,9440,9460,9405,9405,467747,4417,0
2018/11/09,9400,9400,9360,9375,525767,4931,0
2018/11/12,9240,9310,9205,9300,323235,2987,0
2018/11/13,8985,9025,8930,9015,343745,3086,0
2018/11/14,9030,9045,8980,8990,342869,3092,0
2018/11/15,8915,8945,8845,8945,284973,2536,0
2018/11/16,9025,9040,8995,8995,549808,4957,0
2018/11/19,9010,9025,8980,9010,425029,3828,0
2018/11/20,8730,8730,8695,8715,423472,3690,0
2018/11/21,8560,8630,8550,8630,353959,3037,0
2018/11/22,8615,8645,8595,8625,318532,2748,0
2018/11/23,8580,8600,8545,8555,491626,4219,0
2018/11/26,8605,8620,8585,8620,265921,2289,0
2018/11/27,8690,8755,8675,8725,328162,2860,0
2018/11/28,8805,8830,8790,8830,344103,3034,0
2018/11/29,9045,9075,9020,9020,420460,3804,0
2018/11/30,9035,9075,9035,9075,381535,3454,0
2018/12/03,9280,9320,9250,9310,57370,534,0
2018/12/04,9220,9240,9140,9155,11926,110,0
2018/12/05,8920,8955,8920,8955,18248,163,0
2018/12/06,8860,8865,8745,8755,3100,27,0
2018/12/07,8950,8970,8920,8925,52215,467,0
2018/12/10,8630,8635,8600,8620,14828,128,0
2018/12/11,8730,8760,8720,8750,37970,332,0
2018/12/12,8765,8895,8765,8895,63307,560,0
2018/12/13,8890,8935,8885,8920,374408,3342,0
2018/12/14,8850,8860,8755,8770,17793,157,0
2018/12/17,8660,8700,8660,8700,11078,96,0
2018/12/18,8520,8525,8475,8500,18597,158,0
2018/12/19,8475,8510,8445,8510,69247,588,0
2018/12/20,8310,8345,8205,8230,1.68331e+006,13987,0
2018/12/21,8235,8240,8210,8230,26533,218,0
2018/12/24,7910,7960,7870,7940,164693,1306,0
2018/12/26,7700,7720,7620,7680,491189,3759,0
2018/12/27,8125,8205,8115,8145,1.07765e+006,8781,0
2018/12/28,8180,8265,8180,8210,44217,363,0
2019/01/02,8280,8295,8135,8150,13909,114,0
2019/01/03,8125,8145,8085,8085,2269,18,0
2019/01/04,8055,8130,7985,8130,15263,123,0
2019/01/07,8425,8470,8385,8390,7401,62,0
2019/01/08,8470,8500,8450,8475,7967,68,0
2019/01/09,8545,8620,8545,8590,10701,92,0
2019/01/10,8565,8575,8540,8540,49127,420,0
2019/01/11,8615,8630,8585,8600,2954,25,0
2019/01/14,8555,8565,8515,8515,5415,46,0
2019/01/15,8555,8600,8555,8600,33754,289,0
2019/01/16,8700,8710,8685,8695,645,6,0
2019/01/17,8675,8685,8645,8670,1639,14,0
2019/01/18,8735,8790,8735,8790,580,5,0
2019/01/21,8820,8825,8810,8825,853,8,0
2019/01/22,8830,8830,8745,8770,41752,366,0
2019/01/23,8680,8710,8675,8700,4240,37,0
2019/01/24,8685,8725,8680,8685,156,1,0
2019/01/25,8695,8780,8695,8780,359,3,0
2019/01/28,8820,8845,8800,8810,671,6,0
2019/01/29,8715,8730,8690,8730,796,7,0
2019/01/30,8715,8720,8670,8705,1348,12,0
2019/01/31,8925,8975,8915,8930,1342,12,0
2019/02/01,8985,9000,8950,8975,1912,17,0
2019/02/07,9095,9100,9070,9080,2436,22,0
2019/02/08,8960,8985,8930,8960,529,5,0
2019/02/11,9015,9015,8970,9005,6267,56,0
2019/02/12,8995,9060,8995,9060,4253,38,0
2019/02/13,9135,9180,9135,9180,954,9,0
2019/02/14,9155,9180,9125,9180,253,2,0
2019/02/15,9150,9150,9130,9150,15329,140,0
2019/02/18,9195,9195,9170,9195,410,4,0
2019/02/19,9185,9210,9180,9200,4792,44,0
2019/02/20,9195,9210,9185,9195,1553,14,0
2019/02/21,9205,9250,9200,9250,1891,17,0
2019/02/22,9170,9170,9130,9155,1129,10,0
2019/02/25,9280,9280,9245,9270,1767,16,0
2019/02/26,9280,9280,9215,9215,4541,42,0
2019/02/27,9245,9270,9245,9270,2190,20,0
2019/02/28,9270,9275,9240,9245,1881,17,0
2019/03/04,9385,9385,9355,9375,259,2,0
2019/03/05,9310,9310,9265,9305,2456,23,0
2019/03/06,9300,9310,9295,9295,719,7,0
2019/03/07,9260,9265,9235,9235,3597,33,0
2019/03/08,9140,9160,9125,9125,2562,23,0
2019/03/11,9155,9175,9155,9155,1235,11,0
2019/03/12,9270,9270,9240,9260,1563,14,0
2019/03/13,9370,9380,9355,9365,4261,40,0
2019/03/14,9460,9475,9440,9440,2067,20,0
