Date,Open,High,Low,Close,Adj Close,Volume
2015-05-29,79200.000000,79500.000000,78780.000000,79240.000000,75861.617188,0
2015-06-01,77220.000000,77220.000000,77220.000000,77220.000000,73927.742188,0
2015-06-02,77220.000000,77220.000000,77220.000000,77220.000000,73927.742188,0
2015-06-03,81720.000000,81720.000000,80000.000000,80000.000000,76589.234375,0
2015-06-04,76000.000000,76000.000000,75400.000000,75400.000000,72185.351563,0
2015-06-05,79820.000000,79820.000000,78620.000000,78620.000000,75268.046875,0
2015-06-08,79600.000000,79600.000000,76230.000000,77820.000000,74502.164063,0
2015-06-09,79980.000000,79980.000000,78820.000000,78820.000000,75459.531250,0
2015-06-10,82120.000000,82120.000000,81420.000000,81420.000000,77948.687500,0
2015-06-11,81340.000000,81340.000000,80000.000000,80000.000000,76589.234375,0
2015-06-12,80000.000000,80000.000000,80000.000000,80000.000000,76589.234375,0
2015-06-15,74000.000000,77260.000000,74000.000000,77160.000000,73870.328125,0
2015-06-16,76780.000000,76800.000000,76780.000000,76780.000000,73506.507813,1
2015-06-17,78160.000000,78160.000000,78160.000000,78160.000000,74827.679688,0
2015-06-18,77140.000000,77140.000000,77140.000000,77140.000000,73851.156250,0
2015-06-19,75460.000000,75460.000000,71640.000000,72060.000000,68987.742188,3
2015-06-22,70800.000000,70800.000000,70800.000000,70800.000000,67781.460938,0
2015-06-23,76940.000000,77080.000000,76940.000000,77080.000000,73793.726563,0
2015-06-24,77080.000000,77080.000000,77080.000000,77080.000000,73793.726563,0
2015-06-25,74000.000000,74000.000000,74000.000000,74000.000000,70845.031250,0
2015-06-26,71940.000000,71940.000000,70000.000000,70000.000000,67015.562500,0
2015-06-29,67640.000000,67640.000000,64940.000000,64940.000000,62171.308594,2
2015-06-30,66040.000000,66040.000000,65100.000000,66000.000000,63186.121094,1
2015-07-01,63760.000000,65500.000000,59220.000000,59220.000000,56695.171875,1
2015-07-02,59400.000000,59400.000000,59400.000000,59400.000000,56867.500000,0
2015-07-06,55160.000000,55380.000000,53200.000000,53520.000000,51238.187500,3
2015-07-07,52000.000000,58520.000000,49000.000000,58520.000000,56025.019531,1
2015-07-08,58240.000000,58240.000000,50784.000000,51820.000000,49610.667969,1
2015-07-09,56940.000000,57050.000000,55096.000000,55096.000000,52746.996094,2
2015-07-10,53500.000000,53500.000000,52940.000000,52940.000000,50682.921875,1
2015-07-13,52840.000000,52840.000000,52420.000000,52420.000000,50185.089844,0
2015-07-14,53140.000000,58700.000000,53140.000000,58700.000000,56197.347656,1
2015-07-15,57000.000000,57294.000000,51140.000000,52160.000000,49936.175781,5
2015-07-16,52380.000000,52380.000000,50000.000000,50260.000000,48117.179688,2
2015-07-17,48000.000000,48160.000000,46100.000000,46100.000000,44134.539063,4
2015-07-20,45000.000000,45000.000000,40900.000000,41080.000000,39328.562500,6
2015-07-21,42540.000000,44740.000000,41500.000000,41880.000000,40094.457031,8
2015-07-22,39680.000000,40600.000000,39022.000000,39228.000000,37555.535156,4
2015-07-23,39840.000000,39960.000000,37500.000000,39500.000000,37815.933594,5
2015-07-24,39600.000000,39800.000000,35180.000000,35720.000000,34197.089844,6
2015-07-27,34180.000000,34940.000000,32400.000000,32540.000000,31152.669922,8
2015-07-28,33020.000000,36420.000000,32200.000000,36340.000000,34790.652344,18
2015-07-29,35520.000000,40620.000000,35520.000000,39480.000000,37796.781250,71
2015-07-30,38820.000000,39760.000000,36400.000000,37140.000000,35556.546875,10
2015-07-31,36080.000000,36800.000000,34700.000000,34700.000000,33220.578125,4
2015-08-03,32680.000000,34222.000000,31180.000000,31408.000000,30068.929688,29
2015-08-04,33000.000000,34100.000000,30580.000000,31600.000000,30252.746094,27
2015-08-05,33640.000000,33960.000000,30300.000000,30920.000000,29601.736328,8
2015-08-06,29480.000000,34680.000000,29480.000000,34680.000000,33201.437500,24
2015-08-07,33680.000000,35180.000000,31120.000000,31500.000000,30157.007813,21
2015-08-10,32056.000000,37920.000000,31960.000000,37860.000000,36245.847656,13
2015-08-11,34140.000000,37600.000000,33680.000000,37600.000000,35996.941406,23
2015-08-12,37700.000000,40640.000000,36860.000000,40300.000000,38581.820313,13
2015-08-13,39820.000000,39820.000000,36104.000000,37020.000000,35441.664063,58
2015-08-14,38000.000000,38340.000000,35680.000000,36020.000000,34484.304688,46
2015-08-17,36400.000000,36860.000000,35200.000000,35800.000000,34273.683594,5
2015-08-18,35140.000000,36720.000000,34700.000000,35700.000000,34177.941406,5
2015-08-19,36138.000000,36138.000000,31060.000000,32220.000000,30846.310547,26
2015-08-20,32060.000000,32480.000000,29600.000000,29620.000000,28357.164063,40
2015-08-21,28520.000000,29080.000000,26380.000000,26610.000000,25475.488281,70
2015-08-24,22000.000000,25520.000000,21800.000000,22640.000000,21674.748047,66
2015-08-25,25100.000000,25312.000000,20900.000000,20900.000000,20008.935547,62
2015-08-26,22440.000000,22480.000000,20668.000000,22300.000000,21349.250000,18
2015-08-27,24600.000000,27860.000000,24400.000000,26900.000000,25753.126953,105
2015-08-28,26840.000000,31540.000000,26840.000000,29560.000000,28299.718750,105
2015-08-31,29700.000000,32920.000000,27060.000000,32200.000000,30827.164063,95
2015-09-01,29000.000000,30440.000000,26260.000000,27040.000000,25887.160156,58
2015-09-02,28500.000000,28600.000000,24700.000000,27980.000000,26787.083984,49
2015-09-03,29000.000000,31040.000000,27862.000000,28480.000000,27265.765625,32
2015-09-04,28000.000000,28000.000000,26360.000000,26860.000000,25714.832031,25
2015-09-08,28040.000000,28960.000000,26114.000000,28400.000000,27189.175781,21
2015-09-09,29440.000000,30580.000000,26000.000000,26040.000000,24929.791016,28
2015-09-10,26920.000000,27540.000000,25200.000000,26656.000000,25519.527344,32
2015-09-11,25420.000000,25600.000000,23780.000000,25060.000000,23991.574219,43
2015-09-14,24520.000000,24520.000000,23200.000000,23464.000000,22463.617188,25
2015-09-15,23980.000000,25080.000000,23760.000000,24620.000000,23570.335938,70
2015-09-16,25800.000000,28320.000000,25800.000000,28200.000000,26997.701172,53
2015-09-17,28020.000000,29940.000000,27634.000000,27690.000000,26509.447266,27
2015-09-18,26000.000000,26040.000000,24544.000000,24660.000000,23608.630859,33
2015-09-21,25820.000000,26120.000000,24700.000000,24720.000000,23666.070313,26
2015-09-22,23740.000000,25022.000000,23000.000000,23780.000000,22766.148438,27
2015-09-23,24200.000000,24220.000000,22820.000000,22820.000000,21847.076172,31
2015-09-24,22000.000000,22460.000000,20300.000000,21780.000000,20851.416016,120
2015-09-25,22540.000000,23200.000000,20720.000000,21140.000000,20238.701172,62
2015-09-28,20400.000000,20576.000000,17860.000000,17920.000000,17155.988281,98
2015-09-29,18640.000000,19240.000000,17800.000000,18260.000000,17481.490234,52
2015-09-30,19220.000000,20100.000000,18700.000000,19800.000000,18955.833984,28
2015-10-01,21120.000000,22438.000000,19842.000000,20560.000000,19683.431641,30
2015-10-02,20500.000000,24200.000000,19800.000000,24080.000000,23053.359375,106
2015-10-05,25500.000000,28040.000000,25360.000000,28000.000000,26806.228516,116
2015-10-06,28300.000000,32560.000000,27460.000000,32160.000000,30788.869141,165
2015-10-07,35100.000000,35980.000000,29540.000000,32520.000000,31133.517578,163
2015-10-08,32720.000000,36820.000000,31380.000000,36180.000000,34637.484375,99
2015-10-09,37000.000000,37000.000000,32900.000000,34580.000000,33105.691406,59
2015-10-12,34020.000000,34020.000000,29300.000000,30970.000000,29649.603516,64
2015-10-13,29880.000000,32200.000000,28920.000000,29020.000000,27782.740234,56
2015-10-14,28880.000000,30424.000000,28400.000000,29900.000000,28625.224609,27
2015-10-15,29500.000000,32660.000000,28720.000000,32440.000000,31056.931641,45
2015-10-16,33760.000000,33760.000000,31000.000000,32840.000000,31439.878906,18
2015-10-19,32480.000000,32480.000000,28520.000000,29260.000000,28012.509766,59
2015-10-20,29060.000000,31460.000000,28560.000000,29900.000000,28625.224609,25
2015-10-21,28960.000000,29904.000000,26882.000000,27140.000000,25982.894531,45
2015-10-22,28320.000000,28584.000000,26240.000000,27360.000000,26193.513672,37
2015-10-23,26560.000000,28200.000000,25980.000000,27060.000000,25906.304688,23
2015-10-26,27100.000000,27100.000000,24940.000000,24940.000000,23876.687500,31
2015-10-27,23640.000000,23740.000000,22200.000000,22874.000000,21898.775391,157
2015-10-28,23520.000000,26300.000000,22600.000000,25440.000000,24355.375000,122
2015-10-29,26000.000000,27860.000000,25820.000000,25900.000000,24795.761719,54
2015-10-30,26440.000000,27920.000000,24360.000000,26880.000000,25733.978516,58
2015-11-02,27000.000000,29500.000000,26000.000000,28860.000000,27629.562500,67
2015-11-03,29880.000000,33106.000000,29880.000000,32000.000000,30635.691406,93
2015-11-04,32320.000000,33476.000000,29500.000000,31180.000000,29850.650391,53
2015-11-05,31640.000000,34140.000000,29924.000000,31580.000000,30233.597656,80
2015-11-06,31580.000000,32360.000000,30200.000000,31040.000000,29716.619141,29
2015-11-09,31900.000000,33000.000000,30440.000000,31420.000000,30080.417969,24
2015-11-10,30960.000000,32660.000000,30298.000000,31680.000000,30329.333984,35
2015-11-11,31520.000000,31700.000000,27540.000000,27700.000000,26519.021484,69
2015-11-12,25880.000000,27020.000000,24820.000000,25080.000000,24010.722656,109
2015-11-13,25040.000000,26318.000000,23560.000000,25520.000000,24431.964844,50
2015-11-16,26120.000000,28860.000000,25460.000000,28860.000000,27629.562500,109
2015-11-17,28460.000000,28700.000000,26620.000000,27120.000000,25963.748047,40
2015-11-18,28100.000000,29000.000000,26172.000000,28700.000000,27476.384766,69
2015-11-19,27460.000000,28300.000000,25260.000000,26500.000000,25370.185547,82
2015-11-20,26120.000000,26860.000000,24700.000000,24780.000000,23723.513672,55
2015-11-23,24740.000000,26036.000000,24160.000000,25360.000000,24278.787109,42
2015-11-24,26520.000000,28700.000000,26140.000000,28080.000000,26882.818359,94
2015-11-25,27220.000000,28744.000000,26200.000000,27720.000000,26538.169922,64
2015-11-27,26560.000000,27100.000000,25500.000000,25900.000000,24795.761719,61
2015-11-30,26120.000000,27700.000000,25940.000000,26220.000000,25102.119141,59
2015-12-01,26660.000000,26860.000000,26300.000000,26780.000000,25638.244141,23
2015-12-02,25800.000000,26060.000000,23000.000000,23432.000000,22432.986328,156
2015-12-03,24500.000000,24500.000000,22144.000000,22420.000000,21464.130859,110
2015-12-04,21640.000000,21998.000000,19800.000000,20680.000000,19798.314453,120
2015-12-07,18960.000000,18960.000000,15780.000000,15780.000000,15107.225586,374
2015-12-08,15240.000000,17200.000000,14860.000000,16720.000000,16007.147461,164
2015-12-09,17000.000000,18960.000000,16200.000000,17042.000000,16315.423828,120
2015-12-10,16680.000000,18440.000000,16400.000000,18020.000000,17251.724609,56
2015-12-11,17560.000000,17560.000000,15260.000000,15420.000000,14762.574219,348
2015-12-14,15020.000000,15180.000000,13700.000000,14280.000000,13671.176758,426
2015-12-15,15160.000000,15560.000000,14580.000000,15080.000000,14437.069336,161
2015-12-16,15120.000000,15400.000000,13760.000000,14040.000000,13441.409180,262
2015-12-17,14480.000000,14480.000000,12200.000000,12700.000000,12158.540039,344
2015-12-18,12680.000000,13096.000000,12100.000000,12110.000000,11593.693359,163
2015-12-21,11980.000000,12160.000000,11180.000000,11560.000000,11067.142578,209
2015-12-22,11620.000000,12380.000000,11400.000000,11960.000000,11450.088867,175
2015-12-23,13100.000000,14800.000000,12914.000000,14800.000000,14169.007813,449
2015-12-24,15000.000000,15040.000000,13880.000000,14460.000000,13843.502930,153
2015-12-28,13840.000000,13840.000000,12600.000000,12868.000000,12319.376953,143
2015-12-29,13720.000000,14000.000000,12780.000000,13480.000000,12905.285156,235
2015-12-30,12820.000000,13500.000000,12300.000000,12360.000000,11833.035156,179
2015-12-31,12120.000000,13380.000000,12120.000000,13260.000000,12694.664063,163
2016-01-04,13460.000000,14036.000000,12500.000000,13500.000000,12924.429688,164
2016-01-05,13260.000000,13380.000000,12540.000000,13360.000000,12790.401367,91
2016-01-06,12100.000000,12260.000000,10276.000000,10560.000000,10109.779297,895
2016-01-07,10000.000000,11000.000000,9600.000000,9850.000000,9430.047852,377
2016-01-08,10200.000000,10340.000000,9300.000000,9884.000000,9462.599609,313
2016-01-11,10000.000000,10020.000000,8300.000000,8760.000000,8386.519531,490
2016-01-12,9560.000000,9560.000000,7420.000000,8340.000000,7984.427246,1015
2016-01-13,8860.000000,9060.000000,7160.000000,7520.000000,7199.386719,752
2016-01-14,7800.000000,8420.000000,7180.000000,8260.000000,7907.837891,736
2016-01-15,7240.000000,7560.000000,6640.000000,7380.000000,7065.356445,847
2016-01-19,7520.000000,7600.000000,5800.000000,6318.000000,6048.635254,1024
2016-01-20,5760.000000,6460.000000,4860.000000,6128.000000,5866.734375,1576
2016-01-21,6400.000000,7560.000000,5960.000000,7380.000000,7065.356445,961
2016-01-22,8560.000000,9078.000000,7860.000000,8300.000000,7946.132324,1409
2016-01-25,7540.000000,8460.000000,6500.000000,6520.000000,6242.021973,606
2016-01-26,7080.000000,7760.000000,6620.000000,7760.000000,7429.154785,565
2016-01-27,7640.000000,8760.000000,7380.000000,7900.000000,7563.186523,970
2016-01-28,9500.000000,9520.000000,8226.000000,8740.000000,8367.373047,785
2016-01-29,9020.000000,10000.000000,8800.000000,10000.000000,9573.654297,929
2016-02-01,9200.000000,9240.000000,8380.000000,8940.000000,8558.846680,437
2016-02-02,8000.000000,8360.000000,7624.000000,7880.000000,7544.038574,534
2016-02-03,8420.000000,8900.000000,7100.000000,8860.000000,8482.257813,1025
2016-02-04,9080.000000,9820.000000,8460.000000,8680.000000,8309.931641,806
2016-02-05,8420.000000,8420.000000,7522.000000,7720.000000,7390.860840,754
2016-02-08,7300.000000,7300.000000,6400.000000,7080.000000,6778.147461,964
2016-02-09,6640.000000,6900.000000,5740.000000,6280.000000,6012.253906,1355
2016-02-10,6200.000000,6840.000000,5800.000000,6080.000000,5820.780762,804
2016-02-11,5740.000000,5930.000000,5060.000000,5780.000000,5533.571289,2418
2016-02-12,6240.000000,6440.000000,5640.000000,6180.000000,5916.517578,1472
2016-02-16,6560.000000,6620.000000,5600.000000,5940.000000,5686.750000,1113
2016-02-17,6180.000000,6878.000000,5900.000000,6730.000000,6443.068359,1820
2016-02-18,7020.000000,7040.000000,5820.000000,5980.000000,5725.044434,1690
2016-02-19,5440.000000,5640.000000,5140.000000,5640.000000,5399.540039,1760
2016-02-22,6160.000000,6520.000000,6020.000000,6420.000000,6146.284668,1838
2016-02-23,6180.000000,6180.000000,5360.000000,5390.000000,5160.199219,1823
2016-02-24,5000.000000,5720.000000,4940.000000,5710.000000,5466.556641,1590
2016-02-25,5580.000000,5940.000000,5220.000000,5700.000000,5456.981934,1039
2016-02-26,6160.000000,6400.000000,5880.000000,6100.000000,5839.928223,1588
2016-02-29,6240.000000,6300.000000,5800.000000,6040.000000,5782.486816,973
2016-03-01,6140.000000,6480.000000,5580.000000,6420.000000,6146.284668,1861
2016-03-02,6240.000000,7540.000000,6240.000000,7500.000000,7180.240234,2058
2016-03-03,7260.000000,8738.000000,7260.000000,8640.000000,8271.636719,1969
2016-03-04,8980.000000,10420.000000,8500.000000,9620.000000,9209.854492,2672
2016-03-07,9720.000000,10900.000000,9480.000000,10780.000000,10320.398438,2590
2016-03-08,10400.000000,10400.000000,8040.000000,8140.000000,7792.954102,2124
2016-03-09,8920.000000,9458.000000,8140.000000,8960.000000,8577.994141,1874
2016-03-10,8800.000000,9020.000000,7938.000000,8880.000000,8501.404297,1589
2016-03-11,9520.000000,10300.000000,9480.000000,10080.000000,9650.242188,1646
2016-03-14,9320.000000,9820.000000,9040.000000,9600.000000,9190.706055,1440
2016-03-15,9120.000000,9600.000000,8750.000000,9590.000000,9181.132813,1051
2016-03-16,10020.000000,10800.000000,9880.000000,10700.000000,10243.809570,2415
2016-03-17,11000.000000,11600.000000,10600.000000,11270.000000,10789.506836,1785
2016-03-18,11640.000000,12140.000000,10800.000000,11280.000000,10799.080078,2110
2016-03-21,11080.000000,11700.000000,10660.000000,11210.000000,10732.065430,1331
2016-03-22,10760.000000,11620.000000,10740.000000,11320.000000,10837.374023,1007
2016-03-23,10880.000000,11150.000000,9634.000000,9700.000000,9286.444336,1277
2016-03-24,9070.000000,10148.000000,8776.599609,10048.000000,9619.607422,955
2016-03-28,10052.000000,10088.000000,9200.000000,9766.000000,9349.629883,714
2016-03-29,9148.000000,10234.000000,8950.000000,10176.000000,9742.150391,953
2016-03-30,10608.000000,10800.000000,9794.000000,10116.000000,9684.707031,1042
2016-03-31,9996.000000,10748.000000,9920.000000,10592.000000,10140.415039,696
2016-04-01,9808.000000,10202.000000,9536.000000,10076.000000,9646.413086,1123
2016-04-04,9878.000000,10718.000000,9622.000000,9714.000000,9299.846680,776
2016-04-05,9440.000000,9800.000000,9262.000000,9480.000000,9075.823242,681
2016-04-06,9868.000000,10458.000000,9428.000000,10422.000000,9977.660156,1277
2016-04-07,10162.000000,10700.000000,9950.000000,10452.000000,10006.381836,524
2016-04-08,11310.000000,11712.000000,11180.599609,11620.000000,11124.583984,1142
2016-04-11,11876.000000,12146.000000,11500.000000,11602.000000,11107.353516,614
2016-04-12,11896.000000,14188.000000,11837.599609,13938.000000,13343.756836,1387
2016-04-13,13734.000000,14146.000000,13000.000000,13484.000000,12909.115234,906
2016-04-14,13734.000000,13766.000000,12948.000000,13504.000000,12928.260742,606
2016-04-15,12814.000000,13314.000000,12540.000000,12890.000000,12340.438477,698
2016-04-18,11204.000000,13772.000000,11148.000000,13590.000000,13010.595703,1331
2016-04-19,13864.000000,15075.599609,13836.000000,14618.000000,13994.766602,878
2016-04-20,14200.000000,15656.000000,14000.000000,15246.000000,14595.992188,832
2016-04-21,15348.000000,15560.000000,14366.000000,14764.000000,14134.542969,625
2016-04-22,15128.000000,16400.000000,15128.000000,16322.000000,15626.116211,767
2016-04-25,16314.000000,16314.000000,15038.000000,15620.000000,14954.045898,843
2016-04-26,16142.000000,17110.000000,15700.000000,16984.000000,16259.891602,833
2016-04-27,17808.000000,18906.000000,17476.400391,18558.000000,17766.789063,1787
2016-04-28,18374.000000,19040.000000,16738.000000,16828.000000,16110.544922,1186
2016-04-29,17586.000000,18110.000000,15450.000000,16662.000000,15951.622070,1567
2016-05-02,16400.000000,16604.000000,15250.000000,16292.000000,15597.396484,769
2016-05-03,15464.000000,15464.000000,13802.200195,14030.000000,13431.835938,1712
2016-05-04,14284.000000,15000.000000,12677.400391,13056.000000,12499.363281,1739
2016-05-05,14686.000000,14836.000000,13327.400391,13920.000000,13326.525391,1200
2016-05-06,13500.000000,14706.000000,13186.000000,13402.000000,12830.610352,792
2016-05-09,12944.000000,13139.799805,11996.000000,12518.000000,11984.297852,1005
2016-05-10,12776.000000,14014.000000,12678.400391,13996.000000,13399.285156,1229
2016-05-11,13856.000000,15018.000000,13093.200195,14388.200195,13774.764648,1092
2016-05-12,15198.000000,15734.000000,13856.000000,14288.000000,13678.835938,846
2016-05-13,13650.000000,14560.000000,13466.000000,13596.000000,13016.339844,707
2016-05-16,14634.000000,15100.000000,14368.000000,14480.000000,13862.649414,776
2016-05-17,14534.000000,15510.000000,14318.000000,15084.000000,14440.900391,671
2016-05-18,15008.000000,15648.000000,14172.000000,14472.000000,13854.991211,1048
2016-05-19,13860.000000,14428.400391,13000.000000,14252.000000,13644.371094,990
2016-05-20,14342.000000,14748.000000,13800.000000,14606.000000,13983.278320,667
2016-05-23,13972.000000,14806.000000,13743.599609,14532.000000,13912.431641,505
2016-05-24,14866.000000,15182.400391,14146.000000,14804.000000,14172.836914,929
2016-05-25,15202.000000,16250.000000,15202.000000,16210.000000,15518.892578,1354
2016-05-26,16908.000000,17080.800781,15744.000000,15854.000000,15178.069336,763
2016-05-27,15658.000000,15682.000000,15094.000000,15638.000000,14971.280273,549
2016-05-31,15598.000000,16742.000000,15598.000000,15994.000000,15312.101563,709
2016-06-01,15240.000000,16554.000000,15154.000000,16490.000000,15786.952148,917
2016-06-02,15722.000000,16650.000000,15506.000000,16646.000000,15936.303711,938
2016-06-03,16728.000000,17048.800781,15634.000000,16048.000000,15363.798828,841
2016-06-06,16676.000000,17437.599609,16250.000000,17356.000000,16616.033203,928
2016-06-07,17718.000000,18954.000000,17582.000000,18734.000000,17935.281250,968
2016-06-08,19346.000000,19858.000000,18210.000000,18266.000000,17487.236328,1041
2016-06-09,17312.000000,18182.199219,17134.000000,17962.000000,17196.197266,599
2016-06-10,17006.000000,17260.000000,15262.000000,15364.000000,14708.962891,1681
2016-06-13,14774.000000,15858.000000,14574.000000,15020.000000,14379.625977,1188
2016-06-14,14860.000000,15568.000000,14095.000000,15112.000000,14467.704102,768
2016-06-15,14698.000000,15900.000000,14400.000000,15128.000000,14483.023438,987
2016-06-16,14400.000000,14402.000000,13097.400391,13982.000000,13385.882813,1886
2016-06-17,15306.000000,15532.000000,14620.000000,15158.000000,14511.745117,1338
2016-06-20,16014.000000,16452.000000,15677.599609,15954.000000,15273.806641,1044
2016-06-21,15810.000000,16928.000000,15410.000000,16752.000000,16037.787109,762
