Date,Open,High,Low,Close,Adj Close,Volume
2013-10-03,39500.000000,39820.000000,39470.000000,39490.000000,37477.867188,1
2013-10-04,37000.000000,37000.000000,34300.000000,35330.000000,33529.832031,7
2013-10-07,33990.000000,36260.000000,33060.000000,35200.000000,33406.457031,12
2013-10-08,35020.000000,35540.000000,31130.000000,31130.000000,29543.832031,9
2013-10-09,30900.000000,30900.000000,28080.000000,29750.000000,28234.148438,29
2013-10-10,29520.000000,30610.000000,28580.000000,28800.000000,27332.552734,10
2013-10-11,27800.000000,27800.000000,25790.000000,26070.000000,24741.656250,11
2013-10-14,27060.000000,27310.000000,25800.000000,26290.000000,24950.447266,12
2013-10-15,25860.000000,28000.000000,25750.000000,28000.000000,26573.314453,14
2013-10-16,27190.000000,27850.000000,26090.000000,26750.000000,25387.007813,17
2013-10-17,30450.000000,32650.000000,30190.000000,31440.000000,29838.039063,48
2013-10-18,31000.000000,32130.000000,29770.000000,30080.000000,28547.333984,17
2013-10-21,31000.000000,33740.000000,31000.000000,33360.000000,31660.210938,46
2013-10-22,36470.000000,40210.000000,36420.000000,39790.000000,37762.582031,74
2013-10-23,38940.000000,39230.000000,36500.000000,36500.000000,34640.214844,49
2013-10-24,39240.000000,41740.000000,38410.000000,40820.000000,38740.105469,45
2013-10-25,39590.000000,42190.000000,38910.000000,41680.000000,39556.277344,65
2013-10-28,41600.000000,42980.000000,40500.000000,40800.000000,38721.117188,25
2013-10-29,39830.000000,40500.000000,35560.000000,35700.000000,33880.980469,47
2013-10-30,37860.000000,38920.000000,32220.000000,36120.000000,34279.574219,59
2013-10-31,32350.000000,33760.000000,30520.000000,30910.000000,29335.042969,62
2013-11-01,29920.000000,30270.000000,27510.000000,28020.000000,26592.298828,54
2013-11-04,28540.000000,29690.000000,27700.000000,29600.000000,28091.792969,37
2013-11-05,29420.000000,29420.000000,27500.000000,28260.000000,26820.068359,20
2013-11-06,29520.000000,29750.000000,29010.000000,29280.000000,27788.095703,11
2013-11-07,27620.000000,28030.000000,25850.000000,26230.000000,24893.498047,70
2013-11-08,24950.000000,26860.000000,23080.000000,26550.000000,25197.199219,69
2013-11-11,25860.000000,26560.000000,24450.000000,26440.000000,25092.802734,33
2013-11-12,25600.000000,26610.000000,23800.000000,24400.000000,23156.748047,71
2013-11-13,24800.000000,25680.000000,24690.000000,25140.000000,23859.039063,41
2013-11-14,26730.000000,27900.000000,26110.000000,27390.000000,25994.398438,59
2013-11-15,28000.000000,28000.000000,26240.000000,26330.000000,24988.410156,42
2013-11-18,25250.000000,25900.000000,24220.000000,24980.000000,23707.195313,36
2013-11-19,24840.000000,25210.000000,24090.000000,24250.000000,23014.390625,31
2013-11-20,22990.000000,24000.000000,20320.000000,20850.000000,19787.628906,86
2013-11-21,20610.000000,20720.000000,19010.000000,20410.000000,19370.052734,66
2013-11-22,20630.000000,21330.000000,19150.000000,19200.000000,18221.703125,60
2013-11-25,18380.000000,19440.000000,17360.000000,18680.000000,17728.197266,93
2013-11-26,18390.000000,18420.000000,17450.000000,17560.000000,16665.265625,40
2013-11-27,18080.000000,18180.000000,17200.000000,17340.000000,16456.474609,77
2013-11-29,18140.000000,19640.000000,18000.000000,19450.000000,18458.964844,43
2013-12-02,17540.000000,17740.000000,15010.000000,15350.000000,14567.873047,122
2013-12-03,14810.000000,15300.000000,13590.000000,13590.000000,12897.548828,222
2013-12-04,14290.000000,15500.000000,13490.000000,14950.000000,14188.252930,226
2013-12-05,13600.000000,14480.000000,13360.000000,13410.000000,12726.719727,120
2013-12-06,14000.000000,14520.000000,13100.000000,13150.000000,12479.968750,99
2013-12-09,13960.000000,14150.000000,13350.000000,13960.000000,13248.697266,93
2013-12-10,15790.000000,16380.000000,15650.000000,15820.000000,15013.923828,195
2013-12-11,15970.000000,15970.000000,14400.000000,14650.000000,13903.540039,97
2013-12-12,13110.000000,14400.000000,12970.000000,14400.000000,13666.276367,106
2013-12-13,14790.000000,15170.000000,14330.000000,14910.000000,14150.291992,100
2013-12-16,15080.000000,16180.000000,14530.000000,15290.000000,14510.928711,65
2013-12-17,14850.000000,15420.000000,14240.000000,14420.000000,13685.257813,54
2013-12-18,14690.000000,16120.000000,13900.000000,13950.000000,13239.206055,160
2013-12-19,13360.000000,13570.000000,12860.000000,13050.000000,12385.063477,126
2013-12-20,13250.000000,13550.000000,13010.000000,13430.000000,12745.702148,84
2013-12-23,13300.000000,13550.000000,12800.000000,12880.000000,12223.724609,68
2013-12-24,13060.000000,14290.000000,12930.000000,14120.000000,13400.543945,67
2013-12-26,14840.000000,15100.000000,14010.000000,14230.000000,13504.938477,79
2013-12-27,14530.000000,15240.000000,14310.000000,15240.000000,14463.477539,73
2013-12-30,15010.000000,15300.000000,14340.000000,14470.000000,13732.710938,78
2013-12-31,14050.000000,15820.000000,13910.000000,15600.000000,14805.132813,126
2014-01-02,17260.000000,18320.000000,17180.000000,18250.000000,17320.107422,206
2014-01-03,18770.000000,19100.000000,17980.000000,18230.000000,17301.128906,141
2014-01-06,18500.000000,19430.000000,18100.000000,18340.000000,17405.523438,90
2014-01-07,17600.000000,17980.000000,16800.000000,17940.000000,17025.904297,134
2014-01-08,16740.000000,17220.000000,16470.000000,16670.000000,15820.613281,107
2014-01-09,16670.000000,16700.000000,15630.000000,15740.000000,14938.000000,198
2014-01-10,16500.000000,18050.000000,16500.000000,17940.000000,17025.904297,175
2014-01-13,18060.000000,21350.000000,18050.000000,21260.000000,20176.740234,240
2014-01-14,20650.000000,21930.000000,19320.000000,19600.000000,18601.322266,280
2014-01-15,18820.000000,20430.000000,18730.000000,20330.000000,19294.126953,133
2014-01-16,20850.000000,21410.000000,20540.000000,21120.000000,20043.875000,166
2014-01-17,22420.000000,25000.000000,22380.000000,24640.000000,23384.519531,361
2014-01-21,22960.000000,27980.000000,22960.000000,27600.000000,26193.699219,402
2014-01-22,27320.000000,27340.000000,23590.000000,23830.000000,22615.791016,392
2014-01-23,26010.000000,27810.000000,25300.000000,25430.000000,24134.267578,405
2014-01-24,26680.000000,27130.000000,21620.000000,23860.000000,22644.259766,508
2014-01-27,23690.000000,23690.000000,19910.000000,20170.000000,19142.279297,561
2014-01-28,20530.000000,21690.000000,19920.000000,21490.000000,20395.019531,327
2014-01-29,22700.000000,24560.000000,21510.000000,24360.000000,23118.783203,523
2014-01-30,22090.000000,22750.000000,21320.000000,21910.000000,20793.621094,359
2014-01-31,23180.000000,23180.000000,20570.000000,21600.000000,20499.414063,262
2014-02-03,22170.000000,24110.000000,21510.000000,21650.000000,20546.867188,432
2014-02-04,21400.000000,24090.000000,21400.000000,23800.000000,22587.318359,323
2014-02-05,25000.000000,25250.000000,22710.000000,22730.000000,21571.837891,338
2014-02-06,23640.000000,24350.000000,22790.000000,23480.000000,22283.623047,234
2014-02-07,24210.000000,27320.000000,23800.000000,27170.000000,25785.607422,463
2014-02-10,29830.000000,31370.000000,29100.000000,30740.000000,29173.707031,550
2014-02-11,32160.000000,35370.000000,31600.000000,34770.000000,32998.363281,701
2014-02-12,34890.000000,34950.000000,29850.000000,30550.000000,28993.386719,605
2014-02-13,30900.000000,36330.000000,30420.000000,36060.000000,34222.632813,656
2014-02-14,39200.000000,41380.000000,38070.000000,39910.000000,37876.468750,915
2014-02-18,40000.000000,40580.000000,37110.000000,38280.000000,36329.523438,584
2014-02-19,37010.000000,38920.000000,30380.000000,30800.000000,29230.648438,720
2014-02-20,31620.000000,37240.000000,31330.000000,35890.000000,34061.304688,616
2014-02-21,36540.000000,37300.000000,33680.000000,36070.000000,34232.128906,622
2014-02-24,37960.000000,39170.000000,37480.000000,37960.000000,36025.820313,524
2014-02-25,37180.000000,37360.000000,34550.000000,35000.000000,33216.644531,481
2014-02-26,33300.000000,33990.000000,30220.000000,31520.000000,29913.964844,814
2014-02-27,32000.000000,34390.000000,30450.000000,31430.000000,29828.546875,642
2014-02-28,31830.000000,32640.000000,30600.000000,31770.000000,30151.224609,455
2014-03-03,36690.000000,37020.000000,33110.000000,33460.000000,31755.115234,733
2014-03-04,30960.000000,33760.000000,30880.000000,33260.000000,31565.302734,445
2014-03-05,33680.000000,35900.000000,32800.000000,35140.000000,33349.515625,493
2014-03-06,36650.000000,37420.000000,35880.000000,37170.000000,35276.078125,592
2014-03-07,33840.000000,34900.000000,33400.000000,34510.000000,32751.609375,589
2014-03-10,34010.000000,34020.000000,31400.000000,32030.000000,30397.974609,658
2014-03-11,33600.000000,34150.000000,31520.000000,32110.000000,30473.904297,517
2014-03-12,35070.000000,36100.000000,34010.000000,35890.000000,34061.304688,807
2014-03-13,36000.000000,40680.000000,35590.000000,39830.000000,37800.546875,884
2014-03-14,42780.000000,43140.000000,38450.000000,39260.000000,37259.585938,984
2014-03-17,38990.000000,39800.000000,34190.000000,34290.000000,32542.822266,839
2014-03-18,32000.000000,34610.000000,30850.000000,32100.000000,30464.412109,1004
2014-03-19,31000.000000,31530.000000,27030.000000,27030.000000,25652.740234,1505
2014-03-20,25800.000000,29490.000000,25540.000000,27650.000000,26241.150391,1281
2014-03-21,29510.000000,30460.000000,27000.000000,27560.000000,26155.736328,771
2014-03-24,25660.000000,25660.000000,21500.000000,21880.000000,20765.150391,1703
2014-03-25,22820.000000,23870.000000,22510.000000,23260.000000,22074.832031,858
2014-03-26,23780.000000,24030.000000,19610.000000,19730.000000,18724.697266,1545
2014-03-27,19650.000000,21750.000000,19210.000000,21360.000000,20271.646484,1366
2014-03-28,21160.000000,23000.000000,20500.000000,21810.000000,20698.716797,1217
2014-03-31,21590.000000,22260.000000,19750.000000,19880.000000,18867.054688,1151
2014-04-01,20380.000000,21340.000000,19300.000000,19500.000000,18506.417969,977
2014-04-02,21340.000000,22780.000000,21120.000000,22480.000000,21334.578125,1438
2014-04-03,21300.000000,21430.000000,20330.000000,20850.000000,19787.628906,1005
2014-04-04,22930.000000,23250.000000,21460.000000,21950.000000,20831.583984,1287
2014-04-07,21180.000000,22880.000000,20350.000000,20460.000000,19417.503906,1149
2014-04-08,22160.000000,23000.000000,21120.000000,22880.000000,21714.195313,992
2014-04-09,22100.000000,24420.000000,21600.000000,23500.000000,22302.605469,943
2014-04-10,24510.000000,24750.000000,21780.000000,21940.000000,20822.091797,1227
2014-04-11,21960.000000,22730.000000,19810.000000,20290.000000,19256.164063,1182
2014-04-14,21280.000000,22000.000000,20500.000000,21050.000000,19977.439453,947
2014-04-15,18150.000000,18870.000000,17600.000000,18550.000000,17604.822266,1990
2014-04-16,18710.000000,19150.000000,17810.000000,18390.000000,17452.974609,675
2014-04-17,18200.000000,18630.000000,16800.000000,16900.000000,16038.894531,1053
2014-04-21,16810.000000,17480.000000,15720.000000,17320.000000,16437.494141,1553
2014-04-22,17350.000000,18700.000000,16530.000000,18700.000000,17747.179688,1235
2014-04-23,18790.000000,20800.000000,18200.000000,20380.000000,19341.578125,1681
2014-04-24,19000.000000,21180.000000,18580.000000,18710.000000,17756.669922,1403
2014-04-25,19800.000000,21170.000000,19200.000000,21120.000000,20043.875000,1610
2014-04-28,20990.000000,21010.000000,18750.000000,19170.000000,18193.230469,1969
2014-04-29,19050.000000,20750.000000,19000.000000,20360.000000,19322.595703,1161
2014-04-30,19560.000000,20400.000000,19100.000000,19450.000000,18458.964844,1293
2014-05-01,18370.000000,19170.000000,17700.000000,18150.000000,17225.205078,1722
2014-05-02,18320.000000,19870.000000,18300.000000,19420.000000,18430.492188,1842
2014-05-05,20780.000000,20900.000000,19840.000000,20080.000000,19056.867188,1298
2014-05-06,20230.000000,20340.000000,19620.000000,19710.000000,18705.720703,722
2014-05-07,19310.000000,19470.000000,17240.000000,17550.000000,16655.775391,2243
2014-05-08,17800.000000,18400.000000,17270.000000,17400.000000,16513.417969,1152
2014-05-09,17870.000000,17910.000000,16330.000000,17120.000000,16247.685547,1391
2014-05-12,17980.000000,18070.000000,17320.000000,17610.000000,16712.718750,766
2014-05-13,17830.000000,18330.000000,17100.000000,17230.000000,16352.081055,1244
2014-05-14,18200.000000,18460.000000,17700.000000,18130.000000,17206.222656,1540
2014-05-15,17750.000000,17940.000000,16570.000000,17100.000000,16228.702148,1501
2014-05-16,16900.000000,17270.000000,16510.000000,17020.000000,16152.779297,1160
2014-05-19,17680.000000,17680.000000,16500.000000,16950.000000,16086.347656,1063
2014-05-20,16540.000000,17150.000000,16350.000000,16680.000000,15830.105469,926
2014-05-21,16410.000000,17150.000000,16110.000000,17120.000000,16247.685547,1250
