Date,Open,High,Low,Close,Adj Close,Volume
2010-12-08,78540.000000,81200.000000,76080.000000,76780.000000,72843.500000,103
2010-12-09,78360.000000,78520.000000,76520.000000,77400.000000,73431.703125,211
2010-12-10,77120.000000,78460.000000,75500.000000,78020.000000,74019.921875,147
2010-12-13,80540.000000,81440.000000,79020.000000,79240.000000,75177.367188,49
2010-12-14,79880.000000,80640.000000,78620.000000,79360.000000,75291.226563,38
2010-12-15,78020.000000,79160.000000,76260.000000,76520.000000,72596.828125,33
2010-12-16,76060.000000,76060.000000,72740.000000,74160.000000,70357.820313,36
2010-12-17,74640.000000,74960.000000,72560.000000,74200.000000,70395.773438,8
2010-12-20,75540.000000,76000.000000,73660.000000,75460.000000,71591.171875,18
2010-12-21,75860.000000,75860.000000,74160.000000,75220.000000,71363.468750,9
2010-12-22,75280.000000,75280.000000,73480.000000,73540.000000,69769.609375,16
2010-12-23,73000.000000,75560.000000,72620.000000,74620.000000,70794.242188,11
2010-12-27,74500.000000,74500.000000,72420.000000,73680.000000,69902.429688,12
2010-12-28,76600.000000,77800.000000,75260.000000,77540.000000,73564.523438,18
2010-12-29,78360.000000,78780.000000,77440.000000,78020.000000,74019.921875,6
2010-12-30,78420.000000,78600.000000,76440.000000,76900.000000,72957.351563,13
2010-12-31,77600.000000,79080.000000,77280.000000,78400.000000,74380.445313,25
2011-01-03,79460.000000,79800.000000,75740.000000,76500.000000,72577.843750,28
2011-01-04,74940.000000,75140.000000,69740.000000,72240.000000,68536.273438,34
2011-01-05,70680.000000,71100.000000,68780.000000,70400.000000,66790.601563,13
2011-01-06,70620.000000,70660.000000,66460.000000,66780.000000,63356.203125,24
2011-01-07,66220.000000,68940.000000,66100.000000,66760.000000,63337.218750,22
2011-01-10,67060.000000,67460.000000,65800.000000,67100.000000,63659.781250,12
2011-01-11,69040.000000,69920.000000,68160.000000,69920.000000,66335.210938,20
2011-01-12,70100.000000,70320.000000,68160.000000,69660.000000,66088.539063,14
2011-01-13,69880.000000,69940.000000,64260.000000,65020.000000,61686.425781,34
2011-01-14,63880.000000,63880.000000,61720.000000,62340.000000,59143.832031,21
2011-01-18,63980.000000,65020.000000,63640.000000,64420.000000,61117.191406,13
2011-01-19,65640.000000,65640.000000,62680.000000,63220.000000,59978.710938,19
2011-01-20,60640.000000,61800.000000,58900.000000,61480.000000,58327.921875,36
2011-01-21,61320.000000,62200.000000,60120.000000,60200.000000,57113.550781,16
2011-01-24,63800.000000,63800.000000,58360.000000,59000.000000,55975.070313,32
2011-01-25,57560.000000,58740.000000,56940.000000,58220.000000,55235.066406,18
2011-01-26,58180.000000,63800.000000,58040.000000,63800.000000,60528.980469,39
2011-01-27,62520.000000,63780.000000,58940.000000,59500.000000,56449.437500,47
2011-01-28,58980.000000,63080.000000,58600.000000,60860.000000,57739.714844,50
2011-01-31,60540.000000,61260.000000,59000.000000,59960.000000,56885.851563,21
2011-02-01,61740.000000,63480.000000,60260.000000,63420.000000,60168.460938,69
2011-02-02,63540.000000,63760.000000,61400.000000,62260.000000,59067.937500,12
2011-02-03,63000.000000,66200.000000,61320.000000,65880.000000,62502.343750,48
2011-02-04,66640.000000,66960.000000,64560.000000,65000.000000,61667.457031,23
2011-02-07,66100.000000,66380.000000,64480.000000,64780.000000,61458.734375,21
2011-02-08,66760.000000,67860.000000,66440.000000,67800.000000,64323.902344,29
2011-02-09,67660.000000,68460.000000,64940.000000,65660.000000,62293.617188,19
2011-02-10,64240.000000,65100.000000,62720.000000,64420.000000,61117.191406,44
2011-02-11,64760.000000,66040.000000,63400.000000,63640.000000,60377.183594,22
2011-02-14,64420.000000,65980.000000,64420.000000,65520.000000,62160.792969,46
2011-02-15,66880.000000,68420.000000,66880.000000,67840.000000,64361.847656,63
2011-02-16,68520.000000,68900.000000,66720.000000,68680.000000,65158.781250,74
2011-02-17,69280.000000,70140.000000,68760.000000,69960.000000,66373.156250,62
2011-02-18,70880.000000,73100.000000,70800.000000,71500.000000,67834.210938,54
2011-02-22,74740.000000,75180.000000,70200.000000,70240.000000,66638.796875,60
2011-02-23,71280.000000,74020.000000,70800.000000,72940.000000,69200.367188,81
2011-02-24,73860.000000,73860.000000,68120.000000,68340.000000,64836.210938,89
2011-02-25,69300.000000,71220.000000,69300.000000,71220.000000,67568.554688,14
2011-02-28,71940.000000,73480.000000,71300.000000,73380.000000,69617.828125,18
2011-03-01,74900.000000,76460.000000,74580.000000,75760.000000,71875.789063,56
2011-03-02,76500.000000,76740.000000,74740.000000,75880.000000,71989.632813,20
2011-03-03,74220.000000,74500.000000,71800.000000,73680.000000,69902.429688,41
2011-03-04,73920.000000,75740.000000,73920.000000,74680.000000,70851.164063,14
2011-03-07,75540.000000,76820.000000,73240.000000,73700.000000,69921.406250,35
2011-03-08,73060.000000,73240.000000,70400.000000,72360.000000,68650.109375,21
2011-03-09,72760.000000,73140.000000,70140.000000,71040.000000,67397.781250,20
2011-03-10,67860.000000,68280.000000,65400.000000,66120.000000,62730.035156,27
2011-03-11,64800.000000,69300.000000,64440.000000,68440.000000,64931.085938,28
2011-03-14,68200.000000,68640.000000,66680.000000,68240.000000,64741.343750,11
2011-03-15,61760.000000,65400.000000,61060.000000,65020.000000,61686.425781,29
2011-03-16,65500.000000,66200.000000,61180.000000,62200.000000,59011.011719,27
2011-03-17,63320.000000,63880.000000,62300.000000,63280.000000,60035.640625,15
2011-03-18,65020.000000,66280.000000,64360.000000,65340.000000,61990.023438,13
2011-03-21,68120.000000,68680.000000,66860.000000,68660.000000,65139.808594,20
2011-03-22,68000.000000,69900.000000,67440.000000,69180.000000,65633.148438,21
2011-03-23,69260.000000,74320.000000,69260.000000,73820.000000,70035.257813,46
2011-03-24,76000.000000,76640.000000,72840.000000,73380.000000,69617.828125,77
2011-03-25,73520.000000,74740.000000,71500.000000,72120.000000,68422.414063,39
2011-03-28,70460.000000,72020.000000,69500.000000,69580.000000,66012.632813,60
2011-03-29,69420.000000,71600.000000,68560.000000,69720.000000,66145.460938,20
2011-03-30,71420.000000,72640.000000,70060.000000,72320.000000,68612.156250,29
2011-03-31,73640.000000,74640.000000,73040.000000,73460.000000,69693.703125,46
2011-04-01,72980.000000,73720.000000,72000.000000,72680.000000,68953.710938,27
2011-04-04,73420.000000,74860.000000,72560.000000,72560.000000,68839.859375,14
2011-04-05,72800.000000,79860.000000,72640.000000,79780.000000,75689.687500,58
2011-04-06,81140.000000,82120.000000,79000.000000,80100.000000,75993.273438,71
2011-04-07,79560.000000,81600.000000,78780.000000,79440.000000,75367.109375,34
2011-04-08,81920.000000,83440.000000,81360.000000,82740.000000,78497.914063,78
2011-04-11,82660.000000,82660.000000,76700.000000,78200.000000,74190.687500,67
2011-04-12,77220.000000,78320.000000,74300.000000,75620.000000,71742.968750,50
2011-04-13,77340.000000,77340.000000,74220.000000,75100.000000,71249.625000,20
2011-04-14,75280.000000,77820.000000,75020.000000,76940.000000,72995.296875,34
2011-04-15,77680.000000,77680.000000,75560.000000,76460.000000,72539.914063,33
2011-04-18,75780.000000,76340.000000,71680.000000,74900.000000,71059.890625,52
2011-04-19,74960.000000,77080.000000,74300.000000,76920.000000,72976.304688,53
2011-04-20,78500.000000,80500.000000,78000.000000,78100.000000,74095.820313,66
2011-04-21,79220.000000,80180.000000,78200.000000,79380.000000,75310.187500,47
2011-04-25,80060.000000,80060.000000,75000.000000,75460.000000,71591.171875,55
2011-04-26,74720.000000,74760.000000,72340.000000,73300.000000,69541.914063,47
2011-04-27,74240.000000,77100.000000,71660.000000,76700.000000,72767.601563,49
2011-04-28,77140.000000,79120.000000,75520.000000,75900.000000,72008.609375,127
2011-04-29,76680.000000,78880.000000,75680.000000,78180.000000,74171.710938,96
2011-05-02,76200.000000,78060.000000,71600.000000,72960.000000,69219.351563,86
2011-05-03,71960.000000,72720.000000,66800.000000,68280.000000,64779.285156,91
2011-05-04,68560.000000,69860.000000,65600.000000,68560.000000,65044.933594,60
2011-05-05,66380.000000,67760.000000,61360.000000,63440.000000,60187.441406,121
2011-05-06,65220.000000,66900.000000,63120.000000,63600.000000,60339.234375,62
2011-05-09,65020.000000,66000.000000,63780.000000,65880.000000,62502.343750,90
2011-05-10,66160.000000,66280.000000,64760.000000,65000.000000,61667.457031,37
2011-05-11,64360.000000,65120.000000,59660.000000,60640.000000,57530.992188,90
2011-05-12,59200.000000,61520.000000,57640.000000,59980.000000,56904.832031,91
2011-05-13,60000.000000,61300.000000,57240.000000,59040.000000,56013.023438,47
2011-05-16,58800.000000,61720.000000,58240.000000,59540.000000,56487.386719,57
2011-05-17,58980.000000,60880.000000,57720.000000,60680.000000,57568.937500,68
2011-05-18,61620.000000,62740.000000,60860.000000,61520.000000,58365.875000,170
2011-05-19,61540.000000,62500.000000,60860.000000,62060.000000,58878.187500,55
2011-05-20,62060.000000,64100.000000,59780.000000,62440.000000,59238.703125,105
2011-05-23,61620.000000,63460.000000,60640.000000,61440.000000,58289.976563,116
2011-05-24,62680.000000,64920.000000,62560.000000,64240.000000,60946.417969,94
2011-05-25,64640.000000,66300.000000,63800.000000,65360.000000,62009.000000,138
2011-05-26,65240.000000,65700.000000,63620.000000,65360.000000,62009.000000,69
2011-05-27,66280.000000,67640.000000,66200.000000,67180.000000,63735.683594,302
2011-05-31,68360.000000,68600.000000,66140.000000,67760.000000,64285.941406,77
2011-06-01,67700.000000,68380.000000,65120.000000,65260.000000,61914.125000,108
2011-06-02,65440.000000,66680.000000,62420.000000,64260.000000,60965.394531,129
2011-06-03,63000.000000,64980.000000,62920.000000,63920.000000,60642.824219,48
2011-06-06,63480.000000,64200.000000,59740.000000,60160.000000,57075.605469,48
2011-06-07,61240.000000,61620.000000,59320.000000,59780.000000,56715.082031,57
2011-06-08,58620.000000,59200.000000,55760.000000,57080.000000,54153.515625,158
2011-06-09,57600.000000,59820.000000,56720.000000,59040.000000,56013.023438,88
2011-06-10,57920.000000,58060.000000,55900.000000,56980.000000,54058.640625,60
2011-06-13,56360.000000,57440.000000,54340.000000,55080.000000,52256.054688,80
2011-06-14,55920.000000,57620.000000,55920.000000,56880.000000,53963.765625,40
2011-06-15,56200.000000,58300.000000,55120.000000,56240.000000,53356.578125,83
2011-06-16,55820.000000,56100.000000,52100.000000,53580.000000,50832.953125,87
2011-06-17,53680.000000,55440.000000,53200.000000,53900.000000,51136.554688,58
2011-06-20,53840.000000,55260.000000,53840.000000,54460.000000,51667.835938,38
2011-06-21,55280.000000,58440.000000,55180.000000,58140.000000,55159.167969,110
2011-06-22,58340.000000,61200.000000,58220.000000,59660.000000,56601.230469,186
2011-06-23,56520.000000,58100.000000,55000.000000,58040.000000,55064.296875,148
2011-06-24,57800.000000,57820.000000,54760.000000,55020.000000,52199.128906,68
2011-06-27,54200.000000,55580.000000,53440.000000,54860.000000,52047.332031,60
2011-06-28,55480.000000,56840.000000,54520.000000,56500.000000,53603.253906,39
2011-06-29,58340.000000,60160.000000,57060.000000,58920.000000,55899.179688,124
2011-06-30,59540.000000,59820.000000,58240.000000,59240.000000,56202.765625,239
2011-07-01,58380.000000,58440.000000,56000.000000,57420.000000,54476.082031,73
2011-07-05,59940.000000,61700.000000,59300.000000,61100.000000,57967.410156,195
2011-07-06,62540.000000,63340.000000,61600.000000,62700.000000,59485.375000,116
2011-07-07,63540.000000,64320.000000,62880.000000,62880.000000,59656.148438,348
2011-07-08,63780.000000,64440.000000,62240.000000,62960.000000,59732.039063,51
2011-07-11,63400.000000,64100.000000,60800.000000,61460.000000,58308.949219,331
2011-07-12,61360.000000,66160.000000,61260.000000,65300.000000,61952.074219,283
2011-07-13,67480.000000,71240.000000,67200.000000,69800.000000,66221.359375,457
2011-07-14,71640.000000,71640.000000,68380.000000,68820.000000,65291.597656,273
2011-07-15,69300.000000,70680.000000,68880.000000,70620.000000,66999.320313,153
2011-07-18,72280.000000,73660.000000,71900.000000,72840.000000,69105.500000,263
2011-07-19,73520.000000,73540.000000,69740.000000,70620.000000,66999.320313,202
2011-07-20,69720.000000,72500.000000,69000.000000,72120.000000,68422.414063,114
2011-07-21,72780.000000,73100.000000,70760.000000,71440.000000,67777.289063,139
2011-07-22,72340.000000,73700.000000,71680.000000,73100.000000,69352.171875,202
2011-07-25,74880.000000,75400.000000,71580.000000,71880.000000,68194.710938,182
2011-07-26,71860.000000,72580.000000,70900.000000,72020.000000,68327.539063,115
2011-07-27,72840.000000,73500.000000,67340.000000,67720.000000,64248.000000,315
2011-07-28,66800.000000,67100.000000,64580.000000,66760.000000,63337.218750,274
2011-07-29,66200.000000,66240.000000,63680.000000,64000.000000,60718.722656,246
2011-08-01,64000.000000,66960.000000,63640.000000,65140.000000,61800.277344,153
2011-08-02,66700.000000,68800.000000,65760.000000,67500.000000,64039.281250,230
2011-08-03,68980.000000,70540.000000,68640.000000,69220.000000,65671.093750,142
2011-08-04,70480.000000,70480.000000,59220.000000,61380.000000,58233.054688,246
2011-08-05,62040.000000,64140.000000,56860.000000,60400.000000,57303.296875,138
2011-08-08,62040.000000,66000.000000,60180.000000,60500.000000,57398.171875,177
2011-08-09,62740.000000,65400.000000,59360.000000,65400.000000,62046.945313,179
2011-08-10,65560.000000,71780.000000,63340.000000,69700.000000,66126.484375,295
2011-08-11,68260.000000,71440.000000,65540.000000,70620.000000,66999.320313,300
2011-08-12,68780.000000,69400.000000,66600.000000,68900.000000,65367.503906,131
2011-08-15,68700.000000,72960.000000,67500.000000,72700.000000,68972.664063,190
2011-08-16,72360.000000,73460.000000,70600.000000,71200.000000,67549.585938,175
2011-08-17,71640.000000,74280.000000,71260.000000,72400.000000,68688.062500,237
2011-08-18,72960.000000,73020.000000,68860.000000,69960.000000,66373.156250,223
2011-08-19,71980.000000,74660.000000,71640.000000,73460.000000,69693.703125,135
2011-08-22,75680.000000,80160.000000,74960.000000,79280.000000,75215.312500,255
2011-08-23,76460.000000,77780.000000,71780.000000,73820.000000,70035.257813,362
2011-08-24,72280.000000,73080.000000,67360.000000,70100.000000,66505.976563,190
2011-08-25,67920.000000,73660.000000,66960.000000,72780.000000,69048.585938,370
2011-08-26,73020.000000,76340.000000,69280.000000,76220.000000,72312.210938,271
2011-08-29,76720.000000,76980.000000,72820.000000,74720.000000,70889.117188,319
2011-08-30,76780.000000,78060.000000,75160.000000,77340.000000,73374.773438,181
2011-08-31,77540.000000,78420.000000,74660.000000,76880.000000,72938.367188,196
2011-09-01,76700.000000,79560.000000,75680.000000,78420.000000,74399.414063,281
