Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,121.059998,121.250000,117.150002,117.940002,117.691162,6883700
2021-09-15,118.260002,121.800003,117.300003,120.860001,120.604996,6201100
2021-09-16,120.370003,121.220001,117.730003,120.220001,119.966354,5749400
2021-09-17,119.589996,119.949997,116.419998,116.849998,116.603462,8439300
2021-09-20,111.589996,112.900002,106.800003,110.879997,110.646057,16118700
2021-09-21,112.769997,113.830002,110.139999,110.660004,110.426529,10362500
2021-09-22,112.459999,115.470001,111.650002,113.790001,113.549919,9034900
2021-09-23,115.349998,119.260002,115.160004,117.970001,117.721100,6627900
2021-09-24,116.559998,119.099998,116.349998,118.529999,118.279915,5312400
2021-09-27,117.620003,118.610001,116.889999,117.519997,117.272041,5406300
2021-09-28,115.129997,115.410004,109.779999,110.339996,110.107193,12695700
2021-09-29,111.489998,112.900002,110.470001,110.879997,110.646057,10159700
2021-09-30,112.120003,112.680000,106.709999,106.980003,106.754288,12615700
2021-10-01,108.199997,111.980003,105.440002,110.690002,110.456459,11396700
2021-10-04,109.699997,110.419998,104.620003,106.459999,106.235382,10960100
2021-10-05,107.550003,111.440002,106.910004,109.650002,109.418655,8072900
2021-10-06,106.760002,111.190002,105.430000,111.080002,110.845642,12328000
2021-10-07,113.730003,116.199997,113.540001,113.900002,113.659683,7771500
2021-10-08,114.510002,114.830002,112.720001,113.279999,113.040993,7450200
2021-10-11,112.720001,115.120003,110.730003,110.820000,110.586182,5798200
2021-10-12,111.550003,111.860001,109.339996,110.029999,109.797852,7474400
2021-10-13,110.800003,111.809998,108.389999,111.080002,110.845642,6322200
2021-10-14,114.139999,116.860001,113.769997,116.739998,116.493690,5996300
2021-10-15,118.559998,119.709999,117.970001,119.389999,119.138107,4842900
2021-10-18,117.870003,120.750000,117.309998,120.489998,120.235786,4172800
2021-10-19,121.889999,123.300003,121.349998,123.209999,122.950043,4177200
2021-10-20,123.639999,124.970001,123.540001,124.730003,124.466843,4475300
2021-10-21,124.139999,125.839996,123.760002,125.750000,125.484680,3938600
2021-10-22,125.279999,126.519997,123.519997,125.199997,124.935844,6502900
2021-10-25,126.199997,127.540001,124.629997,127.120003,126.851799,4164100
2021-10-26,128.660004,129.710007,127.279999,127.610001,127.340759,5058400
2021-10-27,128.000000,128.600006,125.849998,125.879997,125.614410,4377700
2021-10-28,127.169998,129.580002,127.129997,129.500000,129.226761,4920500
2021-10-29,127.410004,130.559998,127.199997,130.229996,129.955231,5797800
2021-11-01,131.190002,131.550003,129.419998,130.940002,130.663742,5712200
2021-11-02,131.110001,132.830002,131.000000,132.479996,132.200485,4322600
2021-11-03,132.039993,135.320007,131.630005,134.910004,134.625351,4903400
2021-11-04,135.520004,136.979996,135.229996,136.750000,136.461487,4972700
2021-11-05,139.029999,140.740005,136.869995,138.210007,137.918411,6861400
2021-11-08,139.339996,139.779999,137.979996,138.699997,138.407364,4918100
2021-11-09,138.990005,139.199997,135.899994,137.300003,137.010315,6974900
2021-11-10,135.649994,137.259995,132.529999,134.000000,133.717270,8314100
2021-11-11,135.279999,135.360001,134.020004,134.020004,133.737228,2755500
2021-11-12,135.250000,137.600006,134.339996,137.080002,136.790787,4817000
