Date,Open,High,Low,Close,Adj Close,Volume
2008-12-30,0.316438,0.331125,0.313063,0.329688,0.258733,3472000
2008-12-31,0.328125,0.348438,0.328125,0.341125,0.267709,1600000
2009-01-02,0.341063,0.382125,0.337063,0.382125,0.299885,1616000
2009-01-05,0.379313,0.395313,0.370875,0.385063,0.302190,5552000
2009-01-06,0.400813,0.430250,0.398875,0.419125,0.328922,5280000
2009-01-07,0.399000,0.399000,0.368188,0.375000,0.294293,5104000
2009-01-08,0.370375,0.381000,0.360625,0.380813,0.298855,5024000
2009-01-09,0.376875,0.376875,0.352375,0.355563,0.279039,5056000
2009-01-12,0.356438,0.356438,0.329750,0.342063,0.268445,3760000
2009-01-13,0.336000,0.349500,0.323938,0.334375,0.262411,10496000
2009-01-14,0.321250,0.321250,0.295250,0.301750,0.236808,3808000
2009-01-15,0.297188,0.313313,0.279688,0.307750,0.241517,9792000
2009-01-16,0.327375,0.329938,0.296125,0.318813,0.250199,10208000
2009-01-20,0.313125,0.315125,0.269375,0.269813,0.211744,16032000
2009-01-21,0.281625,0.309813,0.277250,0.309750,0.243086,9120000
2009-01-22,0.285750,0.305000,0.274688,0.293500,0.230333,9024000
2009-01-23,0.280375,0.319500,0.275000,0.307313,0.241174,6352000
2009-01-26,0.309375,0.329750,0.306188,0.315000,0.247206,5024000
2009-01-27,0.317375,0.333563,0.317375,0.327813,0.257262,4752000
2009-01-28,0.346500,0.368938,0.342938,0.360438,0.282865,16304000
2009-01-29,0.342688,0.346375,0.324313,0.326938,0.256575,13504000
2009-01-30,0.329188,0.337500,0.296875,0.299625,0.235140,14368000
2009-02-02,0.285875,0.317438,0.285875,0.309375,0.242792,9296000
2009-02-03,0.311563,0.328375,0.294625,0.324625,0.254760,9184000
2009-02-04,0.331250,0.354875,0.325500,0.331250,0.259959,13808000
2009-02-05,0.316313,0.359563,0.312500,0.350250,0.274870,14256000
2009-02-06,0.356313,0.394375,0.352625,0.388125,0.304593,17136000
2009-02-09,0.389813,0.397000,0.379250,0.392625,0.308125,18912000
2009-02-10,0.383688,0.396500,0.337000,0.345000,0.270750,37424000
2009-02-11,0.350063,0.352250,0.331250,0.346688,0.272074,9632000
2009-02-12,0.338125,0.353750,0.319938,0.353750,0.277616,11696000
2009-02-13,0.350875,0.364625,0.348313,0.350125,0.274772,11232000
2009-02-17,0.323313,0.323313,0.302750,0.304250,0.238770,18432000
2009-02-18,0.312188,0.319063,0.295125,0.305500,0.239751,20064000
2009-02-19,0.306250,0.310000,0.275000,0.277625,0.217875,11936000
2009-02-20,0.264875,0.285188,0.264438,0.277875,0.218071,14080000
2009-02-23,0.283813,0.283813,0.240188,0.242750,0.190506,19648000
2009-02-24,0.245250,0.269438,0.242625,0.263563,0.206839,13456000
2009-02-25,0.262313,0.279875,0.245750,0.265500,0.208360,11984000
2009-02-26,0.275500,0.284438,0.256250,0.256563,0.201346,15104000
2009-02-27,0.261000,0.267375,0.237500,0.254313,0.199580,19760000
2009-03-02,0.242500,0.256813,0.228063,0.231250,0.181481,14784000
2009-03-03,0.238438,0.243813,0.225000,0.231938,0.182021,16640000
2009-03-04,0.240125,0.259750,0.239500,0.249000,0.195411,20720000
2009-03-05,0.239375,0.248063,0.222563,0.224563,0.176233,30608000
2009-03-06,0.224250,0.235438,0.203063,0.218500,0.171475,22752000
2009-03-09,0.212688,0.229125,0.199125,0.201750,0.158330,25376000
2009-03-10,0.214563,0.244000,0.212500,0.243313,0.190948,29264000
2009-03-11,0.252813,0.268688,0.243750,0.262063,0.205662,24384000
2009-03-12,0.265625,0.285125,0.254250,0.283188,0.222241,28944000
2009-03-13,0.283625,0.288563,0.269750,0.280313,0.219984,21520000
2009-03-16,0.286813,0.289938,0.266188,0.268000,0.210321,31936000
2009-03-17,0.273875,0.296875,0.268125,0.296813,0.232933,21408000
2009-03-18,0.293688,0.325000,0.289375,0.310625,0.243773,37600000
2009-03-19,0.328250,0.329250,0.310375,0.315875,0.247893,20320000
2009-03-20,0.318000,0.331250,0.294250,0.299500,0.235042,28928000
2009-03-23,0.336750,0.355063,0.315000,0.354625,0.278303,32688000
2009-03-24,0.343750,0.357813,0.337500,0.340625,0.267406,28512000
2009-03-25,0.346313,0.363625,0.318438,0.339875,0.266817,35984000
2009-03-26,0.357938,0.380813,0.352813,0.380500,0.298710,50208000
2009-03-27,0.367000,0.367000,0.348063,0.351563,0.275993,52592000
2009-03-30,0.327063,0.329063,0.306188,0.320500,0.251607,41600000
2009-03-31,0.333500,0.357375,0.330875,0.336625,0.264266,39616000
2009-04-01,0.322563,0.366250,0.321938,0.362500,0.284579,38960000
2009-04-02,0.383875,0.419688,0.382313,0.395938,0.310829,68592000
2009-04-03,0.396375,0.416875,0.391438,0.414063,0.325058,36976000
2009-04-06,0.393313,0.403313,0.377875,0.401313,0.315049,30672000
2009-04-07,0.383875,0.388063,0.363688,0.367688,0.288652,30912000
2009-04-08,0.381875,0.398313,0.375000,0.389813,0.306021,35456000
2009-04-09,0.412813,0.429063,0.400625,0.423813,0.332712,41536000
2009-04-13,0.420625,0.426688,0.403938,0.417063,0.327413,36512000
2009-04-14,0.411125,0.420938,0.397188,0.406813,0.319367,35696000
2009-04-15,0.394375,0.400750,0.379750,0.398938,0.313184,39376000
2009-04-16,0.415313,0.444188,0.400188,0.436875,0.342967,61680000
2009-04-17,0.437500,0.442688,0.420625,0.436563,0.342722,53168000
2009-04-20,0.413750,0.413938,0.390938,0.394313,0.309554,56816000
2009-04-21,0.384500,0.416063,0.381438,0.415125,0.325892,63280000
2009-04-22,0.405563,0.444625,0.400063,0.418250,0.328345,72096000
2009-04-23,0.424563,0.426313,0.397875,0.424250,0.333055,84144000
2009-04-24,0.436875,0.459625,0.424625,0.450313,0.353516,71568000
2009-04-27,0.433375,0.465375,0.433125,0.444063,0.348609,58816000
2009-04-28,0.435438,0.450000,0.426625,0.436875,0.342967,43120000
2009-04-29,0.443750,0.478125,0.443750,0.462375,0.362985,50912000
2009-04-30,0.479063,0.502000,0.460188,0.468438,0.367745,63184000
2009-05-01,0.468063,0.480250,0.453813,0.477250,0.374663,39936000
2009-05-04,0.491000,0.505625,0.481688,0.504063,0.395712,55216000
2009-05-05,0.500000,0.503188,0.484000,0.497188,0.390315,42496000
2009-05-06,0.510250,0.512500,0.477063,0.495125,0.388695,59920000
2009-05-07,0.509375,0.509375,0.437063,0.447875,0.351602,69072000
2009-05-08,0.458813,0.462438,0.427125,0.445313,0.349591,98176000
2009-05-11,0.427250,0.462125,0.424375,0.448375,0.351995,72784000
2009-05-12,0.450250,0.459188,0.425438,0.439875,0.345322,74832000
2009-05-13,0.431563,0.431563,0.405375,0.406250,0.318924,66432000
2009-05-14,0.406313,0.431688,0.405250,0.422250,0.331485,77776000
2009-05-15,0.421875,0.440625,0.420875,0.424000,0.332859,44112000
2009-05-18,0.430250,0.457750,0.427875,0.457750,0.359354,111248000
2009-05-19,0.457313,0.483750,0.450000,0.469625,0.368677,58032000
2009-05-20,0.474938,0.488563,0.453563,0.456125,0.358079,72416000
2009-05-21,0.447438,0.456250,0.421875,0.436938,0.343016,42768000
2009-05-22,0.442125,0.446250,0.419563,0.431188,0.338502,32848000
2009-05-26,0.419813,0.475313,0.419813,0.473813,0.371965,51120000
2009-05-27,0.472188,0.495313,0.461375,0.464313,0.364507,61808000
2009-05-28,0.477875,0.487125,0.452813,0.484375,0.380256,68880000
2009-05-29,0.493750,0.499375,0.473000,0.499375,0.392032,41744000
2009-06-01,0.512063,0.554938,0.512063,0.550438,0.432119,80864000
2009-06-02,0.542938,0.563563,0.530313,0.541375,0.425004,45104000
2009-06-03,0.535125,0.535125,0.511438,0.531438,0.417203,39232000
2009-06-04,0.538000,0.556875,0.536563,0.552875,0.434032,47600000
2009-06-05,0.573063,0.575563,0.550000,0.563750,0.442569,60016000
2009-06-08,0.554063,0.570063,0.530125,0.559750,0.439429,38752000
2009-06-09,0.566750,0.587688,0.562313,0.576750,0.452775,47424000
2009-06-10,0.585125,0.591625,0.550125,0.575188,0.451549,40976000
2009-06-11,0.577500,0.599500,0.573563,0.581250,0.456308,47120000
