Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,7.865000,7.872500,7.587500,7.732500,6.719541,109600
2010-02-12,7.867500,7.885000,7.785000,7.820000,6.795580,43600
2010-02-16,7.725000,7.910000,7.725000,7.890000,6.856410,137200
2010-02-17,7.767500,7.805000,7.587500,7.637500,6.636987,312800
2010-02-18,7.667500,7.667500,7.390000,7.507500,6.524017,228800
2010-02-19,7.590000,7.652500,7.517500,7.625000,6.626124,148800
2010-02-22,7.545000,7.602500,7.515000,7.567500,6.576158,157600
2010-02-23,7.607500,7.937500,7.597500,7.935000,6.895515,118000
2010-02-24,7.920000,8.012500,7.840000,7.955000,6.912895,124400
2010-02-25,8.117500,8.117500,8.037500,8.100000,7.038900,100000
2010-02-26,8.190000,8.342500,8.145000,8.220000,7.143179,130000
2010-03-01,8.132500,8.267500,8.105000,8.220000,7.143179,78800
2010-03-02,8.092500,8.180000,8.032500,8.177500,7.106246,44800
2010-03-03,8.115000,8.125000,8.032500,8.102500,7.041072,22800
2010-03-04,8.107500,8.275000,8.062500,8.217500,7.141007,98400
2010-03-05,8.050000,8.067500,7.860000,7.885000,6.852065,130000
2010-03-08,7.800000,7.815000,7.770000,7.777500,6.758647,44000
2010-03-09,7.812500,7.817500,7.657500,7.787500,6.767337,80400
2010-03-10,7.697500,7.737500,7.615000,7.732500,6.719541,37200
2010-03-11,7.700000,7.862500,7.657500,7.795000,6.773855,62800
2010-03-12,7.777500,7.987500,7.777500,7.952500,6.910722,55200
2010-03-15,7.942500,7.947500,7.850000,7.945000,6.904205,32000
2010-03-16,7.955000,8.125000,7.955000,8.122500,7.058453,76800
2010-03-17,8.192500,8.225000,8.127500,8.215000,7.138835,46800
2010-03-18,8.217500,8.222500,8.105000,8.142500,7.075831,684000
2010-03-19,8.165000,8.240000,8.057500,8.165000,7.095385,21200
2010-03-22,8.192500,8.220000,8.177500,8.210000,7.134489,40400
2010-03-23,8.072500,8.117500,8.022500,8.032500,7.013557,168000
2010-03-24,7.737500,7.832500,7.510000,7.587500,6.625008,243600
2010-03-25,7.525000,7.565000,7.325000,7.430000,6.487487,230000
2010-03-26,7.375000,7.510000,7.372500,7.505000,6.552973,93200
2010-03-29,7.457500,7.457500,7.332500,7.397500,6.459110,202800
2010-03-30,7.385000,7.485000,7.315000,7.480000,6.531146,207600
2010-03-31,7.560000,7.635000,7.500000,7.630000,6.662118,170000
2010-04-01,7.525000,7.595000,7.462500,7.560000,6.600995,160800
2010-04-05,7.310000,7.332500,7.152500,7.175000,6.264834,199600
2010-04-06,7.272500,7.272500,7.155000,7.202500,6.288846,164000
2010-04-07,7.187500,7.535000,7.142500,7.505000,6.552973,447600
2010-04-08,7.550000,7.610000,7.427500,7.500000,6.548608,204000
2010-04-09,7.465000,7.557500,7.417500,7.547500,6.590082,139200
2010-04-12,7.612500,7.705000,7.595000,7.692500,6.716689,148800
2010-04-13,7.805000,7.820000,7.715000,7.772500,6.786541,240400
2010-04-14,7.755000,7.785000,7.577500,7.577500,6.616275,336800
2010-04-15,7.502500,7.685000,7.487500,7.622500,6.655567,293600
2010-04-16,7.650000,7.805000,7.617500,7.792500,6.804004,518000
2010-04-19,7.790000,7.822500,7.702500,7.715000,6.736336,120000
2010-04-20,7.785000,7.815000,7.750000,7.815000,6.823650,19200
2010-04-21,7.915000,8.042500,7.910000,8.017500,7.000461,100800
2010-04-22,8.065000,8.110000,7.912500,7.930000,6.924060,163200
2010-04-23,7.912500,7.912500,7.795000,7.832500,6.838930,167600
2010-04-26,7.952500,7.982500,7.802500,7.840000,6.845478,66400
2010-04-27,8.042500,8.297500,8.032500,8.220000,7.177274,157600
2010-04-28,8.112500,8.137500,7.942500,7.987500,6.974267,136000
2010-04-29,8.042500,8.125000,7.945000,8.092500,7.065946,121200
2010-04-30,8.137500,8.400000,8.137500,8.390000,7.325709,109200
2010-05-03,8.277500,8.375000,8.245000,8.362500,7.301698,134800
2010-05-04,8.675000,8.850000,8.632500,8.832500,7.712076,216000
2010-05-05,9.040000,9.255000,8.845000,8.992500,7.851779,244400
2010-05-06,9.642500,10.080000,7.250000,9.922500,8.663808,333200
2010-05-07,9.565000,10.250000,9.397500,9.447500,8.249064,573600
2010-05-10,8.675000,8.922500,8.665000,8.822500,7.703347,188000
2010-05-11,8.947500,8.962500,8.652500,8.775000,7.661870,142000
2010-05-12,8.710000,8.737500,8.525000,8.525000,7.443584,102000
2010-05-13,8.732500,8.810000,8.452500,8.730000,7.622579,213200
2010-05-14,8.970000,9.372500,8.970000,9.217500,8.048238,165600
2010-05-17,9.167500,9.425000,9.067500,9.080000,7.928181,123600
2010-05-18,9.310000,9.615000,9.310000,9.572500,8.358205,714000
2010-05-19,9.552500,9.865000,9.520000,9.687500,8.458616,126000
2010-05-20,10.122500,10.395000,10.057500,10.310000,9.002154,253600
2010-05-21,10.715000,10.775000,10.175000,10.365000,9.050175,296400
2010-05-24,10.485000,10.492500,10.177500,10.235000,8.936665,172800
2010-05-25,10.750000,10.820000,10.367500,10.380000,9.063273,244000
2010-05-26,10.277500,10.310000,10.000000,10.277500,8.973773,245200
2010-05-27,9.775000,9.830000,9.517500,9.517500,8.310182,235600
2010-05-28,9.660000,9.792500,9.552500,9.777500,8.537203,113200
2010-06-01,10.060000,10.060000,9.712500,9.877500,8.624515,70000
2010-06-02,9.935000,9.945000,9.572500,9.585000,8.369121,76000
2010-06-03,9.347500,9.555000,9.300000,9.355000,8.168300,138400
2010-06-04,9.857500,10.167500,9.802500,10.155000,8.866816,287200
2010-06-07,10.050000,10.372500,10.000000,10.372500,9.056725,173200
2010-06-08,10.177500,10.360000,10.175000,10.205000,8.910471,58400
2010-06-09,10.047500,10.245000,9.930000,10.207500,8.912655,96400
2010-06-10,9.957500,9.957500,9.557500,9.600000,8.382217,103200
2010-06-11,9.917500,10.087500,9.805000,9.997500,8.729293,120800
2010-06-14,9.677500,9.840000,9.615000,9.832500,8.585228,93200
2010-06-15,9.862500,9.900000,9.565000,9.670000,8.443336,57600
2010-06-16,9.875000,9.900000,9.650000,9.837500,8.589589,76000
2010-06-17,9.897500,10.210000,9.882500,10.097500,8.816607,174800
2010-06-18,10.130000,10.155000,9.997500,10.037500,8.764220,181200
2010-06-21,9.662500,10.005000,9.635000,9.957500,8.694368,112800
2010-06-22,9.935000,10.275000,9.930000,10.275000,9.021422,165600
2010-06-23,10.290000,10.562500,10.290000,10.485000,9.205801,249600
2010-06-24,10.547500,10.595000,10.210000,10.287500,9.032398,137200
2010-06-25,10.175000,10.500000,10.142500,10.415000,9.144342,98800
2010-06-28,10.660000,10.732500,10.555000,10.732500,9.423106,38800
2010-06-29,10.847500,11.125000,10.817500,11.107500,9.752356,171600
2010-06-30,11.222500,11.370000,11.025000,11.352500,9.967466,397600
2010-07-01,11.412500,11.757500,11.360000,11.402500,10.011363,272000
2010-07-02,11.215000,11.357500,11.060000,11.120000,9.763330,317600
2010-07-06,11.130000,11.425000,11.100000,11.387500,9.998193,249600
2010-07-07,11.337500,11.350000,10.945000,10.967500,9.629436,260400
2010-07-08,10.762500,10.857500,10.677500,10.757500,9.445055,112800
2010-07-09,10.605000,10.662500,10.540000,10.540000,9.254091,118800
2010-07-12,10.582500,10.770000,10.487500,10.547500,9.260677,181200
2010-07-13,10.437500,10.442500,10.210000,10.260000,9.008252,282800
2010-07-14,10.412500,10.657500,10.282500,10.577500,9.287016,161600
2010-07-15,10.722500,11.007500,10.722500,10.937500,9.603093,255600
2010-07-16,10.915000,11.187500,10.895000,11.095000,9.741381,161600
