일자 / 시간,시가,고가,저가,종가,거래량,거래대금,미결제약정
2022/01/03-04:00:00,68.99,69.26,68.99,69.18,1379,0,0
2022/01/03-04:10:00,69.18,69.24,69.15,69.23,2456,0,0
2022/01/03-04:20:00,69.16,69.25,69.15,69.23,515,0,0
2022/01/03-04:30:00,69.22,69.24,69.2,69.23,668,0,0
2022/01/03-04:40:00,69.23,69.24,69.18,69.21,253,0,0
2022/01/03-04:50:00,69.21,69.39,69.21,69.39,445,0,0
2022/01/03-05:00:00,69.39,69.44,69.37,69.38,889,0,0
2022/01/03-05:10:00,69.38,69.43,69.38,69.43,735,0,0
2022/01/03-05:20:00,69.44,69.63,69.44,69.63,520,0,0
2022/01/03-05:30:00,69.62,69.65,69.51,69.65,334,0,0
2022/01/03-05:40:00,69.67,69.77,69.64,69.77,490,0,0
2022/01/03-05:50:00,69.77,69.77,69.7,69.72,155,0,0
2022/01/03-06:00:00,69.72,69.93,69.72,69.93,508,0,0
2022/01/03-06:10:00,69.95,70.05,69.93,70.05,1077,0,0
2022/01/03-06:20:00,69.99,70.07,69.95,69.95,1316,0,0
2022/01/03-06:30:00,69.95,70.07,69.93,70.05,514,0,0
2022/01/03-06:40:00,70.07,70.09,70,70.04,371,0,0
2022/01/03-06:50:00,70.04,70.04,69.96,69.97,528,0,0
2022/01/03-07:00:00,69.95,69.95,69.68,69.7,2521,0,0
2022/01/03-07:10:00,69.71,69.76,69.7,69.76,107,0,0
2022/01/03-07:20:00,69.78,69.78,69.76,69.76,24,0,0
2022/01/03-07:30:00,69.79,69.8,69.74,69.79,316,0,0
2022/01/03-07:40:00,69.84,69.88,69.73,69.75,787,0,0
2022/01/03-07:50:00,69.79,69.93,69.75,69.93,394,0,0
2022/01/03-08:00:00,69.75,69.96,69.65,69.94,25245,0,0
2022/01/03-08:10:00,69.9,69.95,69.84,69.95,754,0,0
2022/01/03-08:20:00,69.95,69.99,69.81,69.86,1908,0,0
2022/01/03-08:30:00,69.86,69.88,69.7,69.75,2461,0,0
2022/01/03-08:40:00,69.77,69.84,69.66,69.75,3930,0,0
2022/01/03-08:50:00,69.83,69.83,69.4,69.4,3968,0,0
2022/01/03-09:00:00,69.4,69.4,69.19,69.31,10699,0,0
2022/01/03-09:10:00,69.31,69.4,69.2,69.3999,4250,0,0
2022/01/03-09:20:00,69.3999,69.53,69.2,69.2,7161,0,0
2022/01/03-09:30:00,69.33,71.96,69.04,71.2603,796923,0,0
2022/01/03-09:40:00,71.2603,71.6,69.11,69.21,621542,0,0
2022/01/03-09:50:00,69.21,69.38,68.3883,69.3701,561328,0,0
2022/01/03-10:00:00,69.34,71.03,69.34,70.86,580663,0,0
2022/01/03-10:10:00,70.86,71.61,70.33,71.2801,357310,0,0
2022/01/03-10:20:00,71.25,71.78,70.48,71.72,361385,0,0
2022/01/03-10:30:00,71.72,71.74,70.88,71.05,234315,0,0
2022/01/03-10:40:00,71.05,71.97,70.77,71.605,241936,0,0
2022/01/03-10:50:00,71.6303,71.83,71.41,71.5998,165705,0,0
2022/01/03-11:00:00,71.5998,71.88,71.4,71.57,159130,0,0
2022/01/03-11:10:00,71.57,71.57,70.87,71.2101,182447,0,0
2022/01/03-11:20:00,71.1802,71.577,71.02,71.41,136120,0,0
2022/01/03-11:30:00,71.41,71.4717,70.5603,70.5603,183146,0,0
2022/01/03-11:40:00,70.5603,71.5259,70.5603,71.32,147077,0,0
2022/01/03-11:50:00,71.32,71.36,70.91,71.01,105184,0,0
2022/01/03-12:00:00,70.98,71.14,70.645,71.0299,101786,0,0
2022/01/03-12:10:00,71.0299,71.22,70.77,71.035,139570,0,0
2022/01/03-12:20:00,71.035,71.46,71.03,71.35,156818,0,0
2022/01/03-12:30:00,71.35,71.36,71.0201,71.12,64445,0,0
2022/01/03-12:40:00,71.12,71.39,70.9,71.27,102215,0,0
2022/01/03-12:50:00,71.27,71.345,71.06,71.28,56237,0,0
2022/01/03-13:00:00,71.28,71.285,71.04,71.04,67058,0,0
2022/01/03-13:10:00,71.04,71.35,70.9101,71.1,89710,0,0
2022/01/03-13:20:00,71.1081,71.2,70.905,70.94,64661,0,0
2022/01/03-13:30:00,70.94,70.99,70.785,70.88,95514,0,0
2022/01/03-13:40:00,70.84,71.34,70.8,71.23,103123,0,0
2022/01/03-13:50:00,71.23,71.345,71.18,71.26,59754,0,0
2022/01/03-14:00:00,71.26,71.34,70.9301,71.24,96844,0,0
2022/01/03-14:10:00,71.24,71.3,71.0608,71.27,62244,0,0
2022/01/03-14:20:00,71.28,71.455,71.25,71.45,50153,0,0
2022/01/03-14:30:00,71.455,71.56,71.34,71.53,110452,0,0
2022/01/03-14:40:00,71.54,72.09,71.5,72.0439,188673,0,0
2022/01/03-14:50:00,72.0439,72.1002,71.79,71.79,153490,0,0
2022/01/03-15:00:00,71.79,71.93,71.67,71.87,110603,0,0
2022/01/03-15:10:00,71.87,72.045,71.825,71.985,89228,0,0
2022/01/03-15:20:00,71.985,72.09,71.71,71.7704,159149,0,0
2022/01/03-15:30:00,71.7704,72.09,71.7704,71.91,185136,0,0
2022/01/03-15:40:00,71.91,72.05,71.62,71.9095,147787,0,0
2022/01/03-15:50:00,71.9095,72.0386,71.52,72.01,274129,0,0
2022/01/03-16:00:00,72.05,72.05,71.62,71.94,1197,0,0
2022/01/03-16:10:00,71.92,72,71.9,71.97,926,0,0
2022/01/03-16:20:00,71.935,72.05,71.9,71.9,1391,0,0
2022/01/03-16:30:00,71.95,72,71.9,72,1991,0,0
2022/01/03-16:40:00,72.03,72.1,71.91,72.1,8340,0,0
2022/01/03-16:50:00,72,72.1,71.93,72,11757,0,0
2022/01/04-04:00:00,72.12,72.16,71.9,72.14,1916,0,0
2022/01/04-04:10:00,72.13,72.34,72.13,72.27,2834,0,0
2022/01/04-04:20:00,72.27,72.45,72.27,72.44,2002,0,0
2022/01/04-04:30:00,72.42,72.58,72.33,72.5,5403,0,0
2022/01/04-04:40:00,72.52,72.63,72.5,72.62,2364,0,0
2022/01/04-04:50:00,72.62,72.68,72.59,72.66,867,0,0
2022/01/04-05:00:00,72.68,72.79,72.68,72.78,2780,0,0
2022/01/04-05:10:00,72.74,72.89,72.74,72.82,2892,0,0
2022/01/04-05:20:00,72.84,72.96,72.77,72.85,1082,0,0
2022/01/04-05:30:00,72.78,72.96,72.78,72.91,699,0,0
2022/01/04-05:40:00,72.91,72.93,72.88,72.92,483,0,0
2022/01/04-05:50:00,72.92,72.97,72.92,72.96,1915,0,0
2022/01/04-06:00:00,72.96,73.1,72.96,73.1,3543,0,0
2022/01/04-06:10:00,73.09,73.12,73.09,73.09,550,0,0
2022/01/04-06:20:00,73.1,73.13,73,73.1,620,0,0
2022/01/04-06:30:00,73,73.05,72.95,72.96,1056,0,0
2022/01/04-06:40:00,73,73.09,73,73.09,1412,0,0
2022/01/04-06:50:00,73.09,73.1,73,73,3397,0,0
2022/01/04-07:00:00,73,73.07,72.95,73,6503,0,0
2022/01/04-07:10:00,73,73.05,72.88,72.88,1801,0,0
2022/01/04-07:20:00,72.86,72.92,72.52,72.52,2254,0,0
2022/01/04-07:30:00,72.59,72.88,72.59,72.74,449,0,0
2022/01/04-07:40:00,72.71,72.81,72.7,72.79,555,0,0
2022/01/04-07:50:00,72.79,72.79,72.7,72.71,268,0,0
2022/01/04-08:00:00,72.86,73.07,72.52,72.79,14260,0,0
2022/01/04-08:10:00,72.83,72.94,72.83,72.94,8385,0,0
2022/01/04-08:20:00,72.88,72.96,72.87,72.87,850,0,0
2022/01/04-08:30:00,72.97,72.97,72.7,72.71,6378,0,0
2022/01/04-08:40:00,72.71,72.84,72.7,72.75,1220,0,0
2022/01/04-08:50:00,72.7,72.93,72.69,72.9,7410,0,0
2022/01/04-09:00:00,72.915,72.95,72.81,72.9,6127,0,0
2022/01/04-09:10:00,72.92,73.11,72.81,72.99,4861,0,0
2022/01/04-09:20:00,72.93,73.12,72.81,72.81,10950,0,0
2022/01/04-09:30:00,72.9867,73.74,72.47,73.66,562567,0,0
2022/01/04-09:40:00,73.65,74.21,73.01,73.9,554075,0,0
2022/01/04-09:50:00,73.9,73.92,73.11,73.39,359043,0,0
2022/01/04-10:00:00,73.39,73.48,71.8,72.21,530287,0,0
2022/01/04-10:10:00,72.21,72.23,71.255,71.42,378220,0,0
2022/01/04-10:20:00,71.42,71.84,71.04,71.5699,294285,0,0
2022/01/04-10:30:00,71.5699,71.61,68.84,68.85,556096,0,0
2022/01/04-10:40:00,68.8603,69.36,68.36,68.63,568229,0,0
2022/01/04-10:50:00,68.63,68.68,67.11,67.28,499248,0,0
2022/01/04-11:00:00,67.28,67.329,66.04,66.85,739200,0,0
2022/01/04-11:10:00,66.859,67.2695,66.225,67.2695,437958,0,0
2022/01/04-11:20:00,67.2695,67.34,66.091,66.7533,384648,0,0
2022/01/04-11:30:00,66.7533,67.86,66.65,67.83,353021,0,0
2022/01/04-11:40:00,67.8201,68.28,67.72,68.24,325347,0,0
2022/01/04-11:50:00,68.24,68.25,67.78,67.92,199122,0,0
2022/01/04-12:00:00,67.92,68.21,67.095,67.47,248826,0,0
2022/01/04-12:10:00,67.47,68.81,67.42,68.49,225261,0,0
2022/01/04-12:20:00,68.48,68.76,68.3,68.3938,145670,0,0
2022/01/04-12:30:00,68.3938,68.85,68.2409,68.71,139570,0,0
2022/01/04-12:40:00,68.71,68.83,68.525,68.6498,110499,0,0
2022/01/04-12:50:00,68.6,68.72,68.18,68.29,139845,0,0
2022/01/04-13:00:00,68.29,69.07,68.23,68.81,179715,0,0
2022/01/04-13:10:00,68.81,68.94,68.48,68.585,75514,0,0
2022/01/04-13:20:00,68.585,69.3071,68.585,69.105,131321,0,0
2022/01/04-13:30:00,69.07,69.2998,68.42,69.08,242946,0,0
2022/01/04-13:40:00,69.08,69.22,68.88,69.02,95582,0,0
2022/01/04-13:50:00,69.01,69.01,68.33,68.47,205402,0,0
2022/01/04-14:00:00,68.47,68.87,68.41,68.68,131854,0,0
2022/01/04-14:10:00,68.68,69.21,68.6099,69.18,109023,0,0
2022/01/04-14:20:00,69.18,69.39,68.995,69.01,89625,0,0
2022/01/04-14:30:00,69.01,69.59,69.01,69.16,134314,0,0
2022/01/04-14:40:00,69.23,69.85,69.195,69.6701,145302,0,0
2022/01/04-14:50:00,69.6701,70.04,69.6701,69.9998,197858,0,0
2022/01/04-15:00:00,69.99,70.18,69.99,70.13,183491,0,0
2022/01/04-15:10:00,70.13,70.88,70.13,70.66,264544,0,0
2022/01/04-15:20:00,70.66,71,70.5,70.79,163085,0,0
2022/01/04-15:30:00,70.79,71.02,70.46,70.88,190697,0,0
2022/01/04-15:40:00,70.88,71.179,70.77,71.15,172512,0,0
2022/01/04-15:50:00,71.15,71.47,70.951,71.01,473622,0,0
2022/01/04-16:00:00,70.94,71.07,70.69,70.69,2855,0,0
2022/01/04-16:10:00,70.6901,70.79,70.53,70.55,3227,0,0
2022/01/04-16:20:00,70.52,70.68,70.52,70.65,2625,0,0
2022/01/04-16:30:00,70.65,70.65,70.51,70.57,3671,0,0
2022/01/04-16:40:00,70.63,71.07,70.55,70.63,958,0,0
2022/01/04-16:50:00,70.63,70.63,70.55,70.62,615,0,0
2022/01/05-04:00:00,69.7,70.23,69.7,69.96,6751,0,0
2022/01/05-04:10:00,69.94,70.04,69.79,69.94,2351,0,0
2022/01/05-04:20:00,69.94,69.99,69.84,69.99,4034,0,0
2022/01/05-04:30:00,70,70.03,69.9,69.92,1240,0,0
2022/01/05-04:40:00,69.92,70.04,69.89,69.98,1674,0,0
2022/01/05-04:50:00,69.98,70.09,69.92,70.09,1457,0,0
2022/01/05-05:00:00,70.09,70.27,70,70.13,1278,0,0
2022/01/05-05:10:00,70.29,70.29,70.15,70.15,141,0,0
2022/01/05-05:20:00,70.14,70.25,70.14,70.18,190,0,0
2022/01/05-05:30:00,70.25,70.36,70.13,70.13,636,0,0
2022/01/05-05:40:00,70.15,70.24,70.01,70.24,198,0,0
2022/01/05-05:50:00,70.24,70.24,70.01,70.22,210,0,0
2022/01/05-06:00:00,70.06,70.24,69.98,70,414,0,0
2022/01/05-06:10:00,70.2,70.2,70.01,70.09,132,0,0
2022/01/05-06:20:00,70.1,70.1,69.9,69.92,294,0,0
2022/01/05-06:30:00,69.92,70.12,69.83,69.83,873,0,0
2022/01/05-06:40:00,69.83,69.96,69.8,69.9,1868,0,0
2022/01/05-06:50:00,69.96,70.05,69.95,70.05,524,0,0
2022/01/05-07:00:00,70,70.19,69.88,70.1,1312,0,0
2022/01/05-07:10:00,70.15,70.17,70.07,70.07,280,0,0
2022/01/05-07:20:00,70.1,70.1,69.94,69.97,339,0,0
2022/01/05-07:30:00,69.97,70.01,69.89,69.91,1048,0,0
2022/01/05-07:40:00,69.91,69.94,69.76,69.76,389,0,0
2022/01/05-07:50:00,69.75,69.75,69.52,69.69,1020,0,0
2022/01/05-08:00:00,70.1385,70.19,69.5,69.72,8623,0,0
2022/01/05-08:10:00,69.7,69.75,69.42,69.75,2603,0,0
2022/01/05-08:20:00,69.74,69.77,69.57,69.77,3969,0,0
2022/01/05-08:30:00,69.77,69.84,69.72,69.72,1506,0,0
2022/01/05-08:40:00,69.75,69.81,69.62,69.62,1912,0,0
2022/01/05-08:50:00,69.62,69.9,69.55,69.85,1973,0,0
2022/01/05-09:00:00,69.84,69.95,69.59,69.59,3287,0,0
2022/01/05-09:10:00,69.6,69.75,69.6,69.74,1257,0,0
2022/01/05-09:20:00,69.67,69.68,69.38,69.4999,3007,0,0
2022/01/05-09:30:00,69.5877,70.49,68.5,69.58,472879,0,0
2022/01/05-09:40:00,69.58,70.29,68.93,69.658,307712,0,0
2022/01/05-09:50:00,69.658,70.66,69.506,70.54,247157,0,0
2022/01/05-10:00:00,70.54,71.33,70.28,70.92,265968,0,0
2022/01/05-10:10:00,70.92,71.3,70.5,70.71,292287,0,0
2022/01/05-10:20:00,70.71,71.42,70.7,70.8599,240629,0,0
2022/01/05-10:30:00,70.8599,70.8599,69.09,69.35,284626,0,0
2022/01/05-10:40:00,69.35,69.83,69.25,69.6801,208017,0,0
2022/01/05-10:50:00,69.6801,69.969,69.3504,69.95,141059,0,0
2022/01/05-11:00:00,69.97,70.33,69.315,69.42,168085,0,0
2022/01/05-11:10:00,69.42,69.85,69.11,69.45,169973,0,0
2022/01/05-11:20:00,69.45,69.9288,69.285,69.82,94233,0,0
2022/01/05-11:30:00,69.82,70.05,69.4303,69.89,139419,0,0
2022/01/05-11:40:00,69.89,70.16,69.44,69.7501,141117,0,0
2022/01/05-11:50:00,69.7799,70.2286,69.72,70.22,125192,0,0
2022/01/05-12:00:00,70.22,70.43,69.75,69.9,95194,0,0
2022/01/05-12:10:00,69.863,70.24,69.67,69.95,113666,0,0
2022/01/05-12:20:00,69.95,70.38,69.9,70.18,98174,0,0
2022/01/05-12:30:00,70.14,70.21,69.13,69.1395,182094,0,0
2022/01/05-12:40:00,69.1395,69.3385,68.61,68.6795,254385,0,0
2022/01/05-12:50:00,68.6795,68.7387,68.3,68.36,174462,0,0
2022/01/05-13:00:00,68.3402,68.62,67.98,68.055,132218,0,0
2022/01/05-13:10:00,68.055,68.59,67.87,68.39,176103,0,0
2022/01/05-13:20:00,68.39,69.0199,68.38,68.82,144248,0,0
2022/01/05-13:30:00,68.82,69.1099,68.72,68.8499,174578,0,0
2022/01/05-13:40:00,68.8499,69.06,68.62,68.625,102646,0,0
2022/01/05-13:50:00,68.625,69.15,68.6,69.095,90480,0,0
2022/01/05-14:00:00,69.0703,69.92,67.7,68.19,471168,0,0
2022/01/05-14:10:00,68.19,68.23,67.18,67.3713,370189,0,0
2022/01/05-14:20:00,67.3713,67.5401,66.92,67.085,412420,0,0
2022/01/05-14:30:00,67.0989,67.55,66.51,66.6191,263698,0,0
2022/01/05-14:40:00,66.6191,66.6728,65.87,66.21,459194,0,0
2022/01/05-14:50:00,66.21,66.57,65.96,66.0601,256560,0,0
2022/01/05-15:00:00,66.0601,66.1,64.25,64.75,642473,0,0
2022/01/05-15:10:00,64.75,65.62,64.619,64.97,547898,0,0
2022/01/05-15:20:00,64.97,65.27,64.54,64.68,350178,0,0
2022/01/05-15:30:00,64.68,65.5,64.3916,65.26,445344,0,0
2022/01/05-15:40:00,65.26,65.66,64.91,64.9103,411199,0,0
2022/01/05-15:50:00,64.9103,65.28,63.94,63.95,565186,0,0
2022/01/05-16:00:00,63.95,64.5,63.94,64.3,14616,0,0
2022/01/05-16:10:00,64.3,64.64,64.12,64.61,3893,0,0
2022/01/05-16:20:00,64.6,64.6,64.56,64.57,4838,0,0
2022/01/05-16:30:00,64.575,64.58,64.5,64.5,4478,0,0
2022/01/05-16:40:00,64.51,64.51,63.99,64.36,7757,0,0
2022/01/05-16:50:00,64.36,64.36,64.26,64.26,6153,0,0
2022/01/06-04:00:00,64,64.39,63.37,63.41,11250,0,0
2022/01/06-04:10:00,63.41,63.8,63.4,63.74,5094,0,0
2022/01/06-04:20:00,63.78,63.99,63.78,63.95,3528,0,0
2022/01/06-04:30:00,63.96,63.96,63.6,63.74,1747,0,0
2022/01/06-04:40:00,63.74,63.82,63.69,63.75,1082,0,0
2022/01/06-04:50:00,63.75,63.98,63.65,63.98,2434,0,0
2022/01/06-05:00:00,63.98,64.29,63.93,64.29,1909,0,0
2022/01/06-05:10:00,64.31,64.58,64.31,64.51,2334,0,0
2022/01/06-05:20:00,64.51,64.64,64.5,64.64,4200,0,0
2022/01/06-05:30:00,64.63,64.73,64.63,64.73,461,0,0
2022/01/06-05:40:00,64.74,64.75,64.51,64.51,1391,0,0
2022/01/06-05:50:00,64.51,64.57,64.4,64.4,1876,0,0
2022/01/06-06:00:00,64.4,64.53,64.4,64.41,2015,0,0
2022/01/06-06:10:00,64.4,64.41,64.4,64.41,414,0,0
2022/01/06-06:20:00,64.41,64.41,63.88,63.88,2501,0,0
2022/01/06-06:30:00,63.87,63.87,63.56,63.7,9178,0,0
2022/01/06-06:40:00,63.6,63.77,63.35,63.35,4246,0,0
2022/01/06-06:50:00,63.36,63.58,63.26,63.48,4423,0,0
2022/01/06-07:00:00,63.48,63.7,63.48,63.63,4478,0,0
2022/01/06-07:10:00,63.6,63.7,63.57,63.57,2827,0,0
2022/01/06-07:20:00,63.56,63.56,63.27,63.27,2289,0,0
2022/01/06-07:30:00,63.27,63.4,63.24,63.4,1481,0,0
2022/01/06-07:40:00,63.36,63.36,63.1,63.1,3238,0,0
