일자 / 시간,시가,고가,저가,종가,거래량,거래대금,미결제약정
2022/01/03-04:00:00,68.99,69.39,68.99,69.39,5716,0,0
2022/01/03-05:00:00,69.39,69.77,69.37,69.72,3123,0,0
2022/01/03-06:00:00,69.72,70.09,69.72,69.97,4314,0,0
2022/01/03-07:00:00,69.95,69.95,69.68,69.93,4149,0,0
2022/01/03-08:00:00,69.75,69.99,69.4,69.4,38266,0,0
2022/01/03-09:00:00,69.4,71.96,68.3883,69.3701,2.0019e+006,0,0
2022/01/03-10:00:00,69.34,71.97,69.34,71.5998,1.94131e+006,0,0
2022/01/03-11:00:00,71.5998,71.88,70.5603,71.01,913104,0,0
2022/01/03-12:00:00,70.98,71.46,70.645,71.28,621071,0,0
2022/01/03-13:00:00,71.28,71.35,70.785,71.26,479820,0,0
2022/01/03-14:00:00,71.26,72.1002,70.9301,71.79,661856,0,0
2022/01/03-15:00:00,71.79,72.09,71.52,72.01,966032,0,0
2022/01/03-16:00:00,72.05,72.1,71.62,72,25602,0,0
2022/01/04-04:00:00,72.12,72.68,71.9,72.66,15386,0,0
2022/01/04-05:00:00,72.68,72.97,72.68,72.96,9851,0,0
2022/01/04-06:00:00,72.96,73.13,72.95,73,10578,0,0
2022/01/04-07:00:00,73,73.07,72.52,72.71,11830,0,0
2022/01/04-08:00:00,72.86,73.07,72.52,72.9,38503,0,0
2022/01/04-09:00:00,72.915,74.21,72.47,73.39,1.49762e+006,0,0
2022/01/04-10:00:00,73.39,73.48,67.11,67.28,2.82637e+006,0,0
2022/01/04-11:00:00,67.28,68.28,66.04,67.92,2.4393e+006,0,0
2022/01/04-12:00:00,67.92,68.85,67.095,68.29,1.00967e+006,0,0
2022/01/04-13:00:00,68.29,69.3071,68.23,68.47,930480,0,0
2022/01/04-14:00:00,68.47,70.04,68.41,69.9998,807976,0,0
2022/01/04-15:00:00,69.99,71.47,69.99,71.01,1.44795e+006,0,0
2022/01/04-16:00:00,70.94,71.07,70.51,70.62,13951,0,0
2022/01/05-04:00:00,69.7,70.23,69.7,70.09,17507,0,0
2022/01/05-05:00:00,70.09,70.36,70,70.22,2653,0,0
2022/01/05-06:00:00,70.06,70.24,69.8,70.05,4105,0,0
2022/01/05-07:00:00,70,70.19,69.52,69.69,4388,0,0
2022/01/05-08:00:00,70.1385,70.19,69.42,69.85,20586,0,0
2022/01/05-09:00:00,69.84,70.66,68.5,70.54,1.0353e+006,0,0
2022/01/05-10:00:00,70.54,71.42,69.09,69.95,1.43259e+006,0,0
2022/01/05-11:00:00,69.97,70.33,69.11,70.22,838019,0,0
2022/01/05-12:00:00,70.22,70.43,68.3,68.36,917975,0,0
2022/01/05-13:00:00,68.3402,69.15,67.87,69.095,820273,0,0
2022/01/05-14:00:00,69.0703,69.92,65.87,66.0601,2.23323e+006,0,0
2022/01/05-15:00:00,66.0601,66.1,63.94,63.95,2.96228e+006,0,0
2022/01/05-16:00:00,63.95,64.64,63.94,64.26,41735,0,0
2022/01/06-04:00:00,64,64.39,63.37,63.98,25135,0,0
2022/01/06-05:00:00,63.98,64.75,63.93,64.4,12171,0,0
2022/01/06-06:00:00,64.4,64.53,63.26,63.48,22777,0,0
2022/01/06-07:00:00,63.48,63.7,63.1,63.18,20361,0,0
2022/01/06-08:00:00,63.76,64.19,63.09,64.06,76868,0,0
2022/01/06-09:00:00,64.05,66.27,63.55,63.9,1.74799e+006,0,0
2022/01/06-10:00:00,63.9,65.36,61.86,64.95,2.73383e+006,0,0
2022/01/06-11:00:00,64.95,65.99,64.01,65.43,1.34428e+006,0,0
2022/01/06-12:00:00,65.43,66.15,65,65.49,777262,0,0
2022/01/06-13:00:00,65.49,65.73,64.77,65.7,587503,0,0
2022/01/06-14:00:00,65.69,66.13,65.16,65.89,718698,0,0
2022/01/06-15:00:00,65.89,66.39,64.68,65.58,1.30652e+006,0,0
2022/01/06-16:00:00,65.515,65.94,65.15,65.89,15708,0,0
2022/01/07-04:00:00,65.39,66.12,64.86,65.72,7120,0,0
2022/01/07-05:00:00,65.74,66.37,65.62,66.32,8108,0,0
2022/01/07-06:00:00,66.28,66.47,66.16,66.19,5381,0,0
2022/01/07-07:00:00,66.25,66.51,66.08,66.08,6363,0,0
2022/01/07-08:00:00,66.14,66.52,64.18,64.73,68360,0,0
2022/01/07-09:00:00,64.76,66.05,64.1252,64.96,1.01297e+006,0,0
2022/01/07-10:00:00,64.9301,64.98,59.15,60.17,3.55764e+006,0,0
2022/01/07-11:00:00,60.17,61.72,59.72,61.095,2.08159e+006,0,0
2022/01/07-12:00:00,61.15,61.62,60.44,61.13,880382,0,0
2022/01/07-13:00:00,61.13,61.33,60.51,60.82,646362,0,0
2022/01/07-14:00:00,60.82,60.96,59.89,60.79,908527,0,0
2022/01/07-15:00:00,60.79,61.1,59.56,59.6295,1.37135e+006,0,0
2022/01/07-16:00:00,59.6295,60.19,59.6,59.95,28223,0,0
2022/01/10-04:00:00,59.63,60.4,59.4,60,13049,0,0
2022/01/10-05:00:00,60.02,60.02,59.27,59.35,15455,0,0
2022/01/10-06:00:00,59.36,59.5,58.76,59.02,17936,0,0
2022/01/10-07:00:00,59.08,59.2,56.89,56.89,33144,0,0
