일자 / 시간,시가,고가,저가,종가,거래량,거래대금,미결제약정
2022/02/01-04:00:00,36.92,37.65,36.82,37.4,119197,0,0
2022/02/01-05:00:00,37.39,37.53,37.14,37.44,40864,0,0
2022/02/01-06:00:00,37.43,37.57,37.22,37.42,20730,0,0
2022/02/01-07:00:00,37.5,37.52,36.97,37.08,113347,0,0
2022/02/01-08:00:00,37.05,37.49,36.8,36.89,325464,0,0
2022/02/01-09:00:00,36.88,38.11,36.83,37.69,6.49096e+006,0,0
2022/02/01-10:00:00,37.69,38.5498,37.53,37.58,6.46782e+006,0,0
2022/02/01-11:00:00,37.59,37.6843,36.9528,37.08,4.02335e+006,0,0
2022/02/01-12:00:00,37.08,37.71,37.0425,37.23,3.30849e+006,0,0
2022/02/01-13:00:00,37.24,37.63,37.22,37.4243,1.66125e+006,0,0
2022/02/01-14:00:00,37.42,37.85,37.27,37.51,2.22863e+006,0,0
2022/02/01-15:00:00,37.51,37.575,36.37,36.6,4.9549e+006,0,0
2022/02/01-16:00:00,36.57,36.61,35.51,35.67,522909,0,0
2022/02/02-04:00:00,35.26,35.28,34.68,34.71,180421,0,0
2022/02/02-05:00:00,34.73,35.03,34.73,34.96,57675,0,0
2022/02/02-06:00:00,34.96,35.17,34.85,34.88,219692,0,0
2022/02/02-07:00:00,34.87,35.01,34.63,34.71,258241,0,0
2022/02/02-08:00:00,34.72,35.3,34.64,35.26,477983,0,0
2022/02/02-09:00:00,35.29,36.33,35.21,35.83,6.37445e+006,0,0
2022/02/02-10:00:00,35.83,36.4,35.29,36.05,6.6725e+006,0,0
2022/02/02-11:00:00,36.05,36.96,35.95,36.32,7.14653e+006,0,0
2022/02/02-12:00:00,36.32,36.55,35.64,35.645,4.26597e+006,0,0
2022/02/02-13:00:00,35.645,36.245,35.6302,36.075,3.4935e+006,0,0
2022/02/02-14:00:00,36.075,36.44,35.6,35.8299,4.31592e+006,0,0
2022/02/02-15:00:00,35.83,36,35.42,35.69,5.09932e+006,0,0
2022/02/02-16:00:00,35.72,37.72,35.65,37.46,1.26435e+006,0,0
2022/02/03-04:00:00,37.65,38.03,37.55,37.99,169569,0,0
2022/02/03-05:00:00,37.98,38.07,37.86,37.98,56265,0,0
2022/02/03-06:00:00,37.99,38.26,37.86,37.88,76953,0,0
2022/02/03-07:00:00,37.92,38.21,37.7,37.83,170153,0,0
2022/02/03-08:00:00,38.02,38.65,37.71,38.59,587334,0,0
2022/02/03-09:00:00,38.6,38.78,37.91,38.53,6.80991e+006,0,0
2022/02/03-10:00:00,38.53,38.73,37.6,38.27,6.36176e+006,0,0
2022/02/03-11:00:00,38.27,38.845,37.87,38.83,3.59529e+006,0,0
2022/02/03-12:00:00,38.82,39.09,38.6404,38.8269,4.11306e+006,0,0
2022/02/03-13:00:00,38.8269,39.06,38.51,38.89,2.33842e+006,0,0
2022/02/03-14:00:00,38.89,39.55,38.63,39.38,3.74712e+006,0,0
2022/02/03-15:00:00,39.38,40.34,39.0204,40,8.05235e+006,0,0
2022/02/03-16:00:00,40.01,40.01,37.4,37.5,1.29291e+006,0,0
2022/02/04-04:00:00,38.06,38.49,37.99,38.45,260430,0,0
2022/02/04-05:00:00,38.45,39.26,38.36,38.94,212060,0,0
2022/02/04-06:00:00,38.97,39.81,38.95,39.81,139064,0,0
2022/02/04-07:00:00,39.8,39.8,38.85,38.89,193984,0,0
2022/02/04-08:00:00,39.57,40.7,38.84,40.67,1.18443e+006,0,0
2022/02/04-09:00:00,40.67,41.12,39.1002,39.35,5.8292e+006,0,0
2022/02/04-10:00:00,39.35,40.09,38.61,39.96,7.35563e+006,0,0
2022/02/04-11:00:00,39.97,40.4586,38.9509,39.31,5.36858e+006,0,0
2022/02/04-12:00:00,39.29,39.51,38.69,38.73,3.47305e+006,0,0
2022/02/04-13:00:00,38.72,38.72,37.885,37.965,4.16895e+006,0,0
2022/02/04-14:00:00,37.95,38.42,37.7601,37.86,3.12538e+006,0,0
2022/02/04-15:00:00,37.8501,38.55,37.332,38.481,7.05046e+006,0,0
2022/02/04-16:00:00,38.5,38.9,38.37,38.79,509567,0,0
2022/02/07-04:00:00,38.6,38.91,38.43,38.7,186678,0,0
2022/02/07-05:00:00,38.66,38.75,38.46,38.7,28358,0,0
2022/02/07-06:00:00,38.68,38.76,38.38,38.45,35572,0,0
2022/02/07-07:00:00,38.5,38.51,38.03,38.12,81812,0,0
2022/02/07-08:00:00,38.36,38.5,37.86,38.09,283252,0,0
2022/02/07-09:00:00,38.09,38.55,37.4908,37.7,3.56605e+006,0,0
2022/02/07-10:00:00,37.7,38.43,37.62,38.15,4.52531e+006,0,0
2022/02/07-11:00:00,38.15,39.36,37.985,39.02,4.76202e+006,0,0
2022/02/07-12:00:00,39.0201,39.46,38.85,39.15,3.04222e+006,0,0
2022/02/07-13:00:00,39.16,39.2264,38.53,38.59,2.74839e+006,0,0
2022/02/07-14:00:00,38.59,38.87,38.28,38.505,2.98558e+006,0,0
2022/02/07-15:00:00,38.51,39.8199,38.12,39.39,6.91774e+006,0,0
2022/02/07-16:00:00,39.39,39.4,39.06,39.1,509803,0,0
2022/02/08-04:00:00,39.25,39.41,38.98,39.4,165506,0,0
2022/02/08-05:00:00,39.42,39.58,39.26,39.34,41619,0,0
2022/02/08-06:00:00,39.33,39.84,39.29,39.66,38354,0,0
2022/02/08-07:00:00,39.68,40.05,39.65,39.77,61510,0,0
2022/02/08-08:00:00,39.7299,40.04,39.54,39.71,309761,0,0
2022/02/08-09:00:00,39.69,39.91,39.2,39.75,3.58744e+006,0,0
2022/02/08-10:00:00,39.75,40.18,38.9,39.05,7.33002e+006,0,0
2022/02/08-11:00:00,39.07,39.09,38.27,38.3999,5.12824e+006,0,0
2022/02/08-12:00:00,38.3999,38.64,37.84,38.115,4.63448e+006,0,0
2022/02/08-13:00:00,38.115,38.62,38.114,38.375,3.48519e+006,0,0
2022/02/08-14:00:00,38.375,38.95,38.14,38.75,4.05444e+006,0,0
2022/02/08-15:00:00,38.75,38.9952,37.7,38.03,5.49053e+006,0,0
2022/02/08-16:00:00,38.04,38.13,37.83,37.96,129848,0,0
2022/02/09-04:00:00,37.14,37.22,37.05,37.18,74252,0,0
2022/02/09-05:00:00,37.19,37.21,36.91,36.98,50561,0,0
2022/02/09-06:00:00,36.98,37.09,36.68,36.74,61171,0,0
2022/02/09-07:00:00,36.75,36.78,36.51,36.57,114623,0,0
2022/02/09-08:00:00,36.61,36.78,36.4,36.62,371263,0,0
2022/02/09-09:00:00,36.62,37.02,36.35,36.9199,4.18638e+006,0,0
2022/02/09-10:00:00,36.91,37.11,36.36,36.3602,5.11849e+006,0,0
2022/02/09-11:00:00,36.375,36.63,36.227,36.535,3.64446e+006,0,0
2022/02/09-12:00:00,36.525,36.66,36.0747,36.085,3.3791e+006,0,0
2022/02/09-13:00:00,36.08,36.2867,36.02,36.11,2.64595e+006,0,0
2022/02/09-14:00:00,36.105,36.105,35.8,36.0501,3.94569e+006,0,0
2022/02/09-15:00:00,36.0558,36.37,35.63,35.63,7.01762e+006,0,0
2022/02/09-16:00:00,35.64,35.75,35.47,35.57,280597,0,0
2022/02/10-04:00:00,36.1,36.18,36.02,36.03,67350,0,0
2022/02/10-05:00:00,36.05,36.09,35.92,35.94,24258,0,0
2022/02/10-06:00:00,35.94,36.03,35.89,35.99,50501,0,0
2022/02/10-07:00:00,35.97,35.99,35.75,35.79,43737,0,0
2022/02/10-08:00:00,35.78,37.37,35.58,37.32,1.64057e+006,0,0
2022/02/10-09:00:00,37.33,37.91,36.4,36.5684,8.11276e+006,0,0
2022/02/10-10:00:00,36.5684,36.66,35.72,36.5,8.97146e+006,0,0
2022/02/10-11:00:00,36.5,36.98,36.19,36.245,6.54738e+006,0,0
2022/02/10-12:00:00,36.24,37.32,36.09,36.83,6.2498e+006,0,0
2022/02/10-13:00:00,36.84,37.86,36.61,37.22,8.27518e+006,0,0
2022/02/10-14:00:00,37.22,37.995,37.17,37.855,6.58039e+006,0,0
2022/02/10-15:00:00,37.85,38.605,37.535,38.05,1.11028e+007,0,0
2022/02/10-16:00:00,38.135,38.39,38,38.07,394257,0,0
2022/02/11-04:00:00,38.86,39.03,38.5,38.95,191582,0,0
2022/02/11-05:00:00,38.94,38.94,38.7,38.75,37770,0,0
2022/02/11-06:00:00,38.73,39.02,38.73,38.84,65434,0,0
2022/02/11-07:00:00,38.83,38.86,38.05,38.28,249123,0,0
2022/02/11-08:00:00,38.73,38.83,37.76,37.89,526148,0,0
2022/02/11-09:00:00,37.88,38.62,37.5301,38.5298,5.6301e+006,0,0
2022/02/11-10:00:00,38.5298,38.9027,37.858,38.68,7.72281e+006,0,0
2022/02/11-11:00:00,38.68,39.41,38.27,39.1067,6.24918e+006,0,0
2022/02/11-12:00:00,39.12,39.56,38.83,39.52,4.3962e+006,0,0
2022/02/11-13:00:00,39.53,41.08,39.2317,40.97,9.09016e+006,0,0
2022/02/11-14:00:00,40.97,41.87,40.45,41.44,1.00658e+007,0,0
2022/02/11-15:00:00,41.4427,42.08,40.84,41.64,1.16959e+007,0,0
2022/02/11-16:00:00,41.62,41.88,41.2,41.49,332916,0,0
2022/02/14-04:00:00,42.98,43.31,42.68,43.06,547869,0,0
2022/02/14-05:00:00,43.08,43.46,42.61,42.86,251996,0,0
2022/02/14-06:00:00,42.9,43.18,42.64,42.81,96091,0,0
2022/02/14-07:00:00,42.77,43.16,41.43,41.69,410492,0,0
2022/02/14-08:00:00,41.7,43.15,41.42,42.15,944941,0,0
2022/02/14-09:00:00,42.15,42.25,40.8,41.195,5.79136e+006,0,0
