일자 / 시간,시가,고가,저가,종가,거래량,거래대금,미결제약정
2022/01/03-04:40:00,28.14,28.14,28.14,28.14,30,0,0
2022/01/03-05:40:00,28,28,28,28,254,0,0
2022/01/03-06:50:00,27.98,27.98,27.98,27.98,17,0,0
2022/01/03-07:00:00,27.61,27.61,27.61,27.61,2,0,0
2022/01/03-07:30:00,27.67,27.67,27.67,27.67,100,0,0
2022/01/03-07:50:00,27.95,28.04,27.95,28.04,379,0,0
2022/01/03-08:00:00,27.97,28.4,27.66,28.01,897,0,0
2022/01/03-08:10:00,28.08,28.12,28.08,28.1,1159,0,0
2022/01/03-08:20:00,27.99,27.99,27.73,27.73,2610,0,0
2022/01/03-08:30:00,27.54,27.54,27.4,27.43,311,0,0
2022/01/03-08:40:00,27.48,27.52,27.44,27.45,14475,0,0
2022/01/03-08:50:00,27.51,27.51,27.34,27.37,726,0,0
2022/01/03-09:00:00,27.32,27.35,27.28,27.28,5764,0,0
2022/01/03-09:10:00,27.28,27.3,27.16,27.3,2558,0,0
2022/01/03-09:20:00,27.3,27.36,27.24,27.24,3479,0,0
2022/01/03-09:30:00,27.22,27.34,27.1407,27.31,149400,0,0
2022/01/03-09:40:00,27.31,27.5,27.2499,27.47,51602,0,0
2022/01/03-09:50:00,27.47,27.47,27.16,27.17,38954,0,0
2022/01/03-10:00:00,27.17,27.245,27.06,27.23,112346,0,0
2022/01/03-10:10:00,27.24,27.25,27.1556,27.25,73994,0,0
2022/01/03-10:20:00,27.2498,27.385,27.22,27.24,67146,0,0
2022/01/03-10:30:00,27.23,27.32,27.2,27.3,40993,0,0
2022/01/03-10:40:00,27.28,27.3,27.18,27.2,46656,0,0
2022/01/03-10:50:00,27.22,27.23,27.1191,27.1191,33009,0,0
2022/01/03-11:00:00,27.115,27.115,26.7391,26.8001,85003,0,0
2022/01/03-11:10:00,26.8001,26.865,26.76,26.785,34984,0,0
2022/01/03-11:20:00,26.78,26.81,26.735,26.8,22928,0,0
2022/01/03-11:30:00,26.7999,26.84,26.72,26.84,21714,0,0
2022/01/03-11:40:00,26.84,26.8422,26.79,26.8307,27025,0,0
2022/01/03-11:50:00,26.8307,26.85,26.6597,26.6862,24046,0,0
