일자 / 시간,시가,고가,저가,종가,거래량,거래대금,미결제약정
2022/01/03-04:00:00,28.14,28.14,28.14,28.14,30,0,0
2022/01/03-05:00:00,28,28,28,28,254,0,0
2022/01/03-06:00:00,27.98,27.98,27.98,27.98,17,0,0
2022/01/03-07:00:00,27.61,28.04,27.61,28.04,481,0,0
2022/01/03-08:00:00,27.97,28.4,27.34,27.37,20178,0,0
2022/01/03-09:00:00,27.32,27.5,27.1407,27.17,251757,0,0
2022/01/03-10:00:00,27.17,27.385,27.06,27.1191,374144,0,0
2022/01/03-11:00:00,27.115,27.115,26.6597,26.6862,215700,0,0
2022/01/03-12:00:00,26.69,26.73,26.52,26.58,163138,0,0
2022/01/03-13:00:00,26.58,26.59,26.37,26.39,129465,0,0
2022/01/03-14:00:00,26.39,26.52,26.33,26.44,167237,0,0
2022/01/03-15:00:00,26.43,26.52,26,26,288880,0,0
2022/01/03-16:00:00,26,26.31,26,26.25,8578,0,0
2022/01/04-04:00:00,26.49,26.5,26.49,26.5,621,0,0
2022/01/04-05:00:00,26.5,26.5,26.5,26.5,2,0,0
2022/01/04-06:00:00,26.5,26.5,26.5,26.5,9,0,0
2022/01/04-07:00:00,26.3,26.3,26,26,374,0,0
2022/01/04-08:00:00,26.4999,26.4999,25.6,25.9199,13278,0,0
2022/01/04-09:00:00,25.91,25.91,25.585,25.77,185003,0,0
2022/01/04-10:00:00,25.77,25.9,25.347,25.347,283378,0,0
2022/01/04-11:00:00,25.39,25.51,25.16,25.33,120300,0,0
2022/01/04-12:00:00,25.33,25.37,25.25,25.36,50538,0,0
2022/01/04-13:00:00,25.36,25.54,25.355,25.5149,111987,0,0
2022/01/04-14:00:00,25.52,25.59,25.43,25.5,90908,0,0
2022/01/04-15:00:00,25.5,25.68,25.4,25.67,185891,0,0
2022/01/04-16:00:00,25.71,25.74,25.66,25.66,524,0,0
2022/01/05-04:00:00,25.96,25.96,25.96,25.96,3,0,0
