Date,Open,High,Low,Close,Adj Close
2022/01/03-04:45:00,84.16,84.195,84.155,84.195,0.0
2022/01/03-05:40:00,84.55,84.55,84.51,84.525,0.0
2022/01/03-06:50:00,84.8,84.89,84.795,84.89,0.0
2022/01/03-07:05:00,84.8,84.805,84.7,84.7,0.0
2022/01/03-07:35:00,84.7,84.725,84.6795,84.725,0.0
2022/01/03-07:50:00,84.665,84.68,84.625,84.66,0.0
2022/01/03-08:00:00,84.83,84.87,84.6,84.715,0.0
2022/01/03-08:10:00,84.725,84.8,84.725,84.78,0.0
2022/01/03-08:15:00,84.775,84.8,84.72,84.73,0.0
2022/01/03-08:20:00,84.735,84.745,84.685,84.71,0.0
2022/01/03-08:25:00,84.71,84.725,84.6,84.64,0.0
2022/01/03-08:30:00,84.625,84.66,84.455,84.455,0.0
2022/01/03-08:35:00,84.46,84.53,84.395,84.495,0.0
2022/01/03-08:40:00,84.47,84.48,84.365,84.465,0.0
2022/01/03-08:45:00,84.45,84.54,84.44,84.54,0.0
2022/01/03-08:50:00,84.515,84.575,84.395,84.405,0.0
2022/01/03-08:55:00,84.415,84.455,83.935,83.975,0.0
2022/01/03-09:00:00,83.96,83.975,83.735,83.9,0.0
2022/01/03-09:05:00,83.905,84.055,83.795,84.055,0.0
2022/01/03-09:10:00,84.04,84.1,83.91,84.025,0.0
2022/01/03-09:15:00,84.025,84.145,83.85,84.145,0.0
2022/01/03-09:20:00,84.125,84.16,83.995,84.1,0.0
2022/01/03-09:25:00,84.07,84.11,83.83,83.935,0.0
2022/01/03-09:30:00,83.9,84.925,83.885,84.78,0.0
2022/01/03-09:35:00,84.78,85.46,84.58,85.17,0.0
2022/01/03-09:40:00,85.17,85.3,84.635,84.855,0.0
2022/01/03-09:45:00,84.85,84.955,83.145,83.395,0.0
2022/01/03-09:50:00,83.395,83.475,82.6352,82.855,0.0
2022/01/03-09:55:00,82.855,83.31,82.56,82.925,0.0
2022/01/03-10:00:00,82.925,83.81,82.77,83.65,0.0
2022/01/03-10:05:00,83.675,83.8097,83.28,83.575,0.0
2022/01/03-10:10:00,83.575,84.09,83.335,84.02,0.0
2022/01/03-10:15:00,84.02,84.285,83.855,84.055,0.0
2022/01/03-10:20:00,84.0499,84.0499,83.45,84.025,0.0
2022/01/03-10:25:00,84.025,84.605,83.91,84.48,0.0
2022/01/03-10:30:00,84.495,84.515,84.045,84.36,0.0
2022/01/03-10:35:00,84.3575,84.5,84.0655,84.15,0.0
2022/01/03-10:40:00,84.16,84.5675,84.015,84.3325,0.0
2022/01/03-10:45:00,84.3518,84.845,84.285,84.6075,0.0
2022/01/03-10:50:00,84.6075,84.695,84.46,84.68,0.0
2022/01/03-10:55:00,84.7,84.8,84.495,84.765,0.0
2022/01/03-11:00:00,84.765,84.88,84.435,84.58,0.0
2022/01/03-11:05:00,84.58,84.85,84.39,84.555,0.0
2022/01/03-11:10:00,84.555,84.59,84.095,84.21,0.0
2022/01/03-11:15:00,84.21,84.3,84.075,84.175,0.0
2022/01/03-11:20:00,84.1813,84.4047,84.02,84.31,0.0
2022/01/03-11:25:00,84.29,84.485,84.1457,84.39,0.0
2022/01/03-11:30:00,84.39,84.435,84.195,84.3707,0.0
2022/01/03-11:35:00,84.355,84.43,83.825,83.835,0.0
2022/01/03-11:40:00,83.835,84.365,83.835,84.315,0.0
